AB_conc,nutrient_conc,arm,time_day,d_P_range,alpha_range_over_ridge_low,alpha_range_over_ridge_high,alpha_fold_range,loglik_span_over_ridge,alpha_within_95pct_low,alpha_within_95pct_high,alpha_fold_within_95pct
12.5,0.25,high persistence (25% MHB),2,0.02-0.60,0.9999999999452872,0.9999999999452872,1.0,26.251216543395508,0.9999999999452872,0.9999999999452872,1.0
12.5,0.5,"intermediate (50% MHB, unused in the paper)",2,0.02-0.60,0.002510839532879499,0.04563236274513076,18.174145399406836,2.1316282072803006e-14,0.002510839532879499,0.04563236274513076,18.174145399406836
12.5,0.8,low persistence (80% MHB),2,0.02-0.60,0.0006419061847460776,0.011666096330984888,18.174145394158664,2.1316282072803006e-14,0.0006419061847460776,0.011666096330984888,18.174145394158664
25.0,0.8,low persistence (80% MHB),2,0.02-0.60,1.3192783210598183e-05,0.00023976755825886516,18.17414524527715,4.04121180963557e-14,1.3192783210598183e-05,0.00023976755825886516,18.17414524527715
