model,parameter,estimate,std_error,ci95_low,ci95_high,rel_se_pct,species,design,tag
biexponential (3 rate parameters + N0),logit_f,-10.69802624183446,0.0,-10.69802624183446,-10.69802624183446,0.0,S. aureus,"sparse (8-point, 48 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),log10_N0,5.820362575302308,0.07047338197359394,5.682234746634064,5.958490403970552,1.2108074207032296,S. aureus,"dense (16-point, 48 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),k_fast,0.0001,0.0,0.0001,0.0001,0.0,S. aureus,"dense (16-point, 48 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),k_slow,0.5206189211994139,0.024080579955369885,0.4734209844868889,0.5678168579119388,4.625375485756932,S. aureus,"dense (16-point, 48 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),logit_f,-9.504913905763809,0.39470667708288326,-10.27853899284626,-8.731288818681358,4.152659150794958,S. aureus,"dense (16-point, 48 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),t_c,1.0,0.0,1.0,1.0,0.0,S. aureus,"dense (16-point, 48 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),log10_N0,5.991703064958273,0.08382123638622498,5.827413441641272,6.155992688275274,1.3989551130536326,S. aureus,"dense (16-point, 48 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),k_fast,0.5084336269768981,0.02699740560804314,0.45551871198513355,0.5613485419686627,5.3099173964097055,S. aureus,"dense (16-point, 48 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),k_slow,0.020408432198116323,0.09468270844257395,-0.1651696763493286,0.20598654074556128,463.93915771400157,S. aureus,"dense (16-point, 48 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),logit_f,-9.496984276988364,2.2331489055629885,-13.873956131891822,-5.120012422084907,23.514295069162245,S. aureus,"dense (16-point, 48 h)",SYNTHETIC (no experimental data in project)
