AB_conc,nutrient_conc,arm,time_day,n_populations,geo_mean_survival,alpha_hat,alpha_ci_low,alpha_ci_high,alpha_hits_upper_bound,alpha_simulated_by_authors,ratio_hat_over_simulated,persister_survival_factor,normal_survival_factor,max_survival_at_alpha_1
12.5,0.25,high persistence (25% MHB),1,2,0.9580083506942932,0.9999999999452872,0.0173359555561121,1.0,True,0.8,1.249999999931609,0.07786403681372438,1.0217916404621673e-11,0.07786403681372438
12.5,0.25,high persistence (25% MHB),2,22,0.2873147070719699,0.9999999999452872,0.8552619552416459,1.0,True,0.8,1.249999999931609,0.07786403681372438,1.0217916404621673e-11,0.07786403681372438
12.5,0.5,"intermediate (50% MHB, unused in the paper)",1,3,0.0003433238306562305,0.004409273323459543,0.0036142805006369747,0.005379131815129695,False,,,0.07786403681372438,1.0217916404621673e-11,0.07786403681372438
12.5,0.5,"intermediate (50% MHB, unused in the paper)",2,19,0.00029165785781225365,0.0037457324271906386,0.0026787561177363034,0.00523769643305351,False,,,0.07786403681372438,1.0217916404621673e-11,0.07786403681372438
12.5,0.8,low persistence (80% MHB),1,3,5.818275391117586e-05,0.0007472351249183688,0.00017177035799345724,0.0032506195691214827,False,5e-05,14.944702498367375,0.07786403681372438,1.0217916404621673e-11,0.07786403681372438
12.5,0.8,low persistence (80% MHB),2,20,7.456350730066291e-05,0.0009576114603262252,0.0005905505349734196,0.001552821817514645,False,5e-05,19.152229206524503,0.07786403681372438,1.0217916404621673e-11,0.07786403681372438
25.0,0.25,high persistence (25% MHB),1,22,0.004724590688251659,0.0942277144972238,0.06312793788198771,0.14064869654828582,False,0.8,0.11778464312152974,0.05014013884620368,3.449656629812201e-13,0.05014013884620368
25.0,0.8,low persistence (80% MHB),2,4,9.868244468788862e-07,1.9681319693135707e-05,1.050756046795797e-05,3.6864340758087124e-05,False,5e-05,0.39362639386271414,0.05014013884620368,3.449656629812201e-13,0.05014013884620368
