species,N240_printed_over_N0,N240_continuous_over_N0,N240_biexponential_over_N0,log10_drop_printed,log10_drop_continuous,log10_drop_biexponential
Mtb,0.8574370413212209,0.00028586239479740875,0.02816127746258246,0.06679775887772171,3.543842972330535,1.5503476484515588
S. aureus,0.10273306461217968,0.0002535372000347302,4.535897664470626e-05,0.9882897563294765,3.595958310158925,4.343336752231785
