species,endpoint,elasticity_wrt_k_slow,elasticity_wrt_k_fast,elasticity_wrt_f
Mtb,N(240 h) under printed Eq. 4,-0.15331962613701208,0.0,0.006173342297940948
S. aureus,N(240 h) under printed Eq. 4,-2.2689032805134013,0.0,0.004369166814371624
