species,t_c_h,jump_log10,jump_fold,log10_N240_printed,log10_N240_continuous,log10_N240_biexponential,t_c_asserted_h,t_c_implied_h,f_dormant_pct
Mtb,80.0,3.4743558552260145,2980.9579870417283,5.933202241122278,2.456157027669465,4.449652351548441,,,
S. aureus,12.0,2.605766891419511,403.4287934927351,5.011710243670524,2.404041689841075,1.6566632477682146,,,
Mtb,,,,,,,80.0,33.266170187523905,3.58
S. aureus,,,,,,,12.0,15.511025172449795,0.05
