variant,MIC_fold_vs_wild_type,MDK99_h_at_own_MIC,MDK99.99_h_at_own_MIC,MDK99_h_at_wild_type_dose,MDK99.99_h_at_wild_type_dose,r,Emax_S,EC50,dormant_fraction
wild type,1.0,29.081674957063324,67.59378327738148,29.081674957063324,67.59378327738148,0.03,0.25,1.0,0.00012515244806210132
resistant,16.000000000000032,29.08167495706333,67.59378327738554,inf,inf,0.03,0.25,16.0,0.00012515244806210132
tolerant,0.9999995846283692,116.4566027657997,247.903729004022,116.45658166345993,247.90368905968853,0.0075,0.0625,1.0,0.0002859329535299082
persistent,0.9999970881620345,29.7954601017037,246.5773174104039,29.795422165439703,246.57719729767024,0.03,0.25,1.0,0.001251171530829397
