scenario,arm,n_all,median_all,q25_all,q75_all,n_evolved,median_evolved,q25_evolved,q75_evolved,alpha,frac_never_evolved,extinction_fraction
authors,high,20,9.203115262353638,8.193238436509173,10.23078155617392,20,9.203115262353638,8.193238436509173,10.23078155617392,0.8,0.0,0.0
authors,low,40,15.81751312716378,13.246423577707882,18.63478394414419,37,16.248132890218038,13.672370890518334,18.873130150818746,5e-05,0.075,0.0
implied,high,20,8.6732074492955,7.748924273153344,12.397435536061945,19,8.725784520748764,7.903784836979069,12.49521469773211,0.9999999999452872,0.05,0.0
implied,low,40,16.621593669373766,13.114162699093145,20.15906526548919,38,16.71470205145477,13.291341089230169,20.40904067227451,0.0009576114603262,0.05,0.0
