series,n_tail_bins,power_law_exponent,power_law_r2,exponential_rate_per_min,exponential_mean_lag_min,exponential_r2,better_fit
"experiment 2 (n=1,425)",5,-2.1147204924942216,0.9713169941847639,0.0025348431818117004,394.5017219113654,0.8471597505781251,power law
"experiment 3 (n=10,263)",6,-2.246038394235333,0.9932167223325836,0.0032407338265236126,308.57208691918896,0.9560202760164671,power law
