conc,replicate,pulse,cfu_before,cfu_after,censored,ln_survival
32.0,4,pulse 2,2000000.0,1800000.0,False,-0.10536051565782628
32.0,5,pulse 2,4000000.0,1200000.0,False,-1.2039728043259361
32.0,6,pulse 2,6000000.0,2000000.0,False,-1.0986122886681098
32.0,7,pulse 2,4000000.0,1400000.0,False,-1.0498221244986778
32.0,8,pulse 2,4000000.0,1400000.0,False,-1.0498221244986778
16.0,1,pulse 2,12000000.0,22000000.0,False,0.6061358035703155
16.0,2,pulse 2,18000000.0,4000000.0,False,-1.5040773967762742
16.0,3,pulse 2,12000000.0,8000000.0,False,-0.40546510810816444
16.0,4,pulse 2,7800000.0,6000000.0,False,-0.262364264467491
16.0,5,pulse 2,8000000.0,8000000.0,False,0.0
16.0,6,pulse 2,8000000.0,8000000.0,False,0.0
16.0,7,pulse 2,14000000.0,12000000.0,False,-0.15415067982725836
16.0,8,pulse 2,14000000.0,14000000.0,False,0.0
8.0,1,pulse 2,12000000.0,14000000.0,False,0.15415067982725836
8.0,2,pulse 2,20000000.0,14000000.0,False,-0.35667494393873245
8.0,3,pulse 2,20000000.0,20000000.0,False,0.0
8.0,4,pulse 2,16000000.0,14000000.0,False,-0.13353139262452263
8.0,5,pulse 2,14000000.0,16000000.0,False,0.13353139262452257
8.0,6,pulse 2,30000000.0,28000000.0,False,-0.06899287148695143
8.0,7,pulse 2,50000000.0,22000000.0,False,-0.8209805520698302
8.0,8,pulse 2,40000000.0,32000000.0,False,-0.2231435513142097
4.0,1,pulse 2,48000000.0,60000000.0,False,0.22314355131420976
4.0,2,pulse 2,34000000.0,22000000.0,False,-0.4353180712578455
4.0,3,pulse 2,22000000.0,44000000.0,False,0.6931471805599453
4.0,4,pulse 2,18000000.0,38000000.0,False,0.7472144018302211
4.0,5,pulse 2,30000000.0,60000000.0,False,0.6931471805599453
4.0,6,pulse 2,60000000.0,40000000.0,False,-0.40546510810816444
4.0,7,pulse 2,60000000.0,100000000.0,False,0.5108256237659907
4.0,8,pulse 2,40000000.0,120000000.0,False,1.0986122886681098
2.0,1,pulse 2,60000000.0,60000000.0,False,0.0
2.0,2,pulse 2,40000000.0,60000000.0,False,0.4054651081081644
2.0,3,pulse 2,80000000.0,80000000.0,False,0.0
2.0,4,pulse 2,80000000.0,60000000.0,False,-0.2876820724517809
2.0,5,pulse 2,28000000.0,100000000.0,False,1.2729656758128876
2.0,6,pulse 2,100000000.0,60000000.0,False,-0.5108256237659907
2.0,7,pulse 2,54000000.0,60000000.0,False,0.10536051565782635
2.0,8,pulse 2,56000000.0,100000000.0,False,0.5798184952529422
0.0,1,pulse 2,40000000.0,60000000.0,False,0.4054651081081644
0.0,2,pulse 2,60000000.0,160000000.0,False,0.9808292530117262
0.0,3,pulse 2,80000000.0,1800000.0,False,-3.7942399697717626
0.0,4,pulse 2,34000000.0,120000000.0,False,1.2611312181658845
0.0,5,pulse 2,40000000.0,62000000.0,False,0.4382549309311553
0.0,6,pulse 2,50000000.0,140000000.0,False,1.0296194171811581
0.0,7,pulse 2,80000000.0,60000000.0,False,-0.2876820724517809
0.0,8,pulse 2,80000000.0,100000000.0,False,0.22314355131420976
128.0,1,pulse 3,4800.0,0.0,True,
64.0,1,pulse 3,80000.0,40000.0,False,-0.6931471805599453
64.0,2,pulse 3,440000.0,160000.0,False,-1.0116009116784799
64.0,3,pulse 3,2000000.0,600000.0,False,-1.2039728043259361
64.0,4,pulse 3,1600000.0,600000.0,False,-0.9808292530117262
64.0,5,pulse 3,80000.0,18000.0,False,-1.491654876777717
64.0,6,pulse 3,600000.0,100000.0,False,-1.791759469228055
64.0,7,pulse 3,1400000.0,400000.0,False,-1.252762968495368
64.0,8,pulse 3,440000.0,40000.0,False,-2.3978952727983707
32.0,1,pulse 3,480000000.0,340000.0,False,-7.252595765273867
32.0,2,pulse 3,440000000.0,400000.0,False,-7.003065458786462
32.0,3,pulse 3,340000000.0,400000.0,False,-6.745236349484363
32.0,4,pulse 3,280000000.0,600000.0,False,-6.145615226935241
32.0,5,pulse 3,620000000.0,600000.0,False,-6.940545101805128
32.0,6,pulse 3,440000000.0,2400000.0,False,-5.211305989558407
32.0,7,pulse 3,420000000.0,1200000.0,False,-5.857933154483459
32.0,8,pulse 3,460000000.0,800000.0,False,-6.354370040797351
16.0,1,pulse 3,460000000.0,200000000.0,False,-0.832909122935104
16.0,2,pulse 3,520000000.0,220000000.0,False,-0.8602012652231115
16.0,3,pulse 3,480000000.0,180000000.0,False,-0.9808292530117262
16.0,4,pulse 3,580000000.0,280000000.0,False,-0.7282385003712154
16.0,5,pulse 3,640000000.0,220000000.0,False,-1.067840630001356
16.0,6,pulse 3,620000000.0,60000000.0,False,-2.3353749158170367
16.0,7,pulse 3,660000000.0,240000000.0,False,-1.0116009116784799
16.0,8,pulse 3,600000000.0,140000000.0,False,-1.455287232606842
8.0,1,pulse 3,1040000000.0,920000000.0,False,-0.12260232209233239
8.0,2,pulse 3,760000000.0,640000000.0,False,-0.17185025692665928
8.0,3,pulse 3,720000000.0,500000000.0,False,-0.3646431135879093
8.0,4,pulse 3,800000000.0,760000000.0,False,-0.05129329438755058
8.0,5,pulse 3,780000000.0,560000000.0,False,-0.3313571359544425
8.0,6,pulse 3,700000000.0,560000000.0,False,-0.2231435513142097
8.0,7,pulse 3,840000000.0,440000000.0,False,-0.6466271649250525
8.0,8,pulse 3,760000000.0,320000000.0,False,-0.8649974374866046
4.0,1,pulse 3,940000000.0,1120000000.0,False,0.1752040890250906
4.0,2,pulse 3,960000000.0,660000000.0,False,-0.3746934494414107
4.0,3,pulse 3,1140000000.0,520000000.0,False,-0.7849547298130681
4.0,4,pulse 3,600000000.0,420000000.0,False,-0.35667494393873245
4.0,5,pulse 3,680000000.0,440000000.0,False,-0.4353180712578455
4.0,6,pulse 3,180000000.0,500000000.0,False,1.0216512475319812
4.0,7,pulse 3,1040000000.0,180000000.0,False,-1.754019141245208
4.0,8,pulse 3,800000000.0,380000000.0,False,-0.7444404749474959
2.0,1,pulse 3,940000000.0,500000000.0,False,-0.6312717768418579
2.0,2,pulse 3,820000000.0,500000000.0,False,-0.49469624183610705
2.0,3,pulse 3,900000000.0,420000000.0,False,-0.7621400520468967
2.0,4,pulse 3,580000000.0,320000000.0,False,-0.5947071077466928
2.0,5,pulse 3,920000000.0,500000000.0,False,-0.6097655716208943
2.0,6,pulse 3,700000000.0,340000000.0,False,-0.7221347174331976
2.0,7,pulse 3,820000000.0,500000000.0,False,-0.49469624183610705
2.0,8,pulse 3,900000000.0,500000000.0,False,-0.587786664902119
0.0,1,pulse 3,740000000.0,680000000.0,False,-0.084557388028063
0.0,2,pulse 3,740000000.0,420000000.0,False,-0.5663954749208014
0.0,3,pulse 3,780000000.0,460000000.0,False,-0.5280674302004967
0.0,4,pulse 3,820000000.0,460000000.0,False,-0.578077850775158
0.0,5,pulse 3,920000000.0,640000000.0,False,-0.3629054936893685
0.0,6,pulse 3,320000000.0,480000000.0,False,0.4054651081081644
0.0,7,pulse 3,820000000.0,220000000.0,False,-1.3156767939059373
0.0,8,pulse 3,740000000.0,520000000.0,False,-0.3528213746227423
