species,formulation,MDK99_h,MDK99.99_h,time_to_LOD_h,log10_drop_240h
Mtb,Eq. 4 as printed,46.051701859880914,inf,inf,0.06679775887772177
Mtb,continuous piecewise,46.051701859880914,1290.3403719752068,1290.3403719762068,3.543842972330535
Mtb,biexponential,1275.362800412608,5880.5329863997,5880.5329864007,1.5503476484515586
S. aureus,Eq. 4 as printed,9.21034037197606,inf,inf,0.9882897563294764
S. aureus,continuous piecewise,9.21034037197606,333.0340371975183,333.0340371976183,3.595958310158925
S. aureus,biexponential,9.302597956546672,160.94379124331002,160.94379124341,4.343336752231785
