species,r,k_T,net_rate_r_minus_kT,log10_N240_printed_eq3,log10_N240_with_replication,direction_printed,direction_with_replication
Mtb,0.03,0.05,-0.020000000000000004,0.7884662171609781,3.914740886438628,decline,decline
S. aureus,0.5,0.2,0.3,-14.846135131356087,8.778151250383644,decline,growth
