species,C_xMIC,knee_h,time_to_LOD_h,MDK99_h,MDK99.99_h,log10_drop_24h,dormant_fraction_at_inoculum,MIC_relative,k_PS_multiplier
Mtb,4.0,61.5,346.5618752966196,48.53900126448333,346.56187529589727,1.0341540989074813,0.0025252956559846163,0.26472831180097495,
S. aureus,4.0,18.5,18.935478181628678,8.86715353738639,18.93547818162836,4.534955166026279,0.000166801029653861,0.7981488688541061,
Mtb,,,2225.6084131072944,,,,,,0.1
Mtb,,,1977.2345009751034,,,,,,0.12115276586285885
Mtb,,,1741.4693168359668,,,,,,0.14677992676220694
Mtb,,,1521.3541555242462,,,,,,0.1778279410038923
Mtb,,,1319.015065220785,,,,,,0.21544346900318834
Mtb,,,1135.6598328277873,,,,,,0.26101572156825364
Mtb,,,971.6586909316294,,,,,,0.31622776601683794
Mtb,,,826.68068665056,,,,,,0.3831186849557287
Mtb,,,699.8564500603036,,,,,,0.46415888336127786
Mtb,,,589.9426251558413,,,,,,0.5623413251903491
Mtb,,,495.47053123447847,,,,,,0.6812920690579611
Mtb,,,414.86953019062196,,,,,,0.8254041852680184
Mtb,,,346.56187529633684,,,,,,1.0
Mtb,,,289.0303354523542,,,,,,1.2115276586285881
Mtb,,,240.86243823920125,,,,,,1.467799267622069
Mtb,,,200.77719586919557,,,,,,1.7782794100389228
Mtb,,,167.6550570114567,,,,,,2.1544346900318834
Mtb,,,140.71334660884932,,,,,,2.610157215682536
Mtb,,,120.17155962839128,,,,,,3.1622776601683795
Mtb,,,106.9072620177905,,,,,,3.831186849557287
Mtb,,,99.57042221251884,,,,,,4.6415888336127775
Mtb,,,95.69950688743936,,,,,,5.623413251903491
Mtb,,,93.70324870889911,,,,,,6.812920690579611
Mtb,,,92.71620508597002,,,,,,8.254041852680182
Mtb,,,92.25015806395903,,,,,,10.0
S. aureus,,,39.059333376046396,,,,,,0.1
S. aureus,,,37.02215595576046,,,,,,0.12115276586285885
S. aureus,,,34.83987958611072,,,,,,0.14677992676220694
S. aureus,,,32.543797727126375,,,,,,0.1778279410038923
S. aureus,,,30.180024710438136,,,,,,0.21544346900318834
S. aureus,,,27.820858637024305,,,,,,0.26101572156825364
S. aureus,,,25.586628849657473,,,,,,0.31622776601683794
S. aureus,,,23.642828547510852,,,,,,0.3831186849557287
S. aureus,,,22.103690856468177,,,,,,0.46415888336127786
S. aureus,,,20.948695778460376,,,,,,0.5623413251903491
S. aureus,,,20.086713846406738,,,,,,0.6812920690579611
S. aureus,,,19.434505903443796,,,,,,0.8254041852680184
S. aureus,,,18.93547818163326,,,,,,1.0
S. aureus,,,18.55361979451734,,,,,,1.2115276586285881
S. aureus,,,18.265406830888498,,,,,,1.467799267622069
S. aureus,,,18.054046456191738,,,,,,1.7782794100389228
S. aureus,,,17.905807605638316,,,,,,2.1544346900318834
S. aureus,,,17.80792499647658,,,,,,2.610157215682536
S. aureus,,,17.747884060382788,,,,,,3.1622776601683795
S. aureus,,,17.713902535340793,,,,,,3.831186849557287
S. aureus,,,17.696046015721446,,,,,,4.6415888336127775
S. aureus,,,17.68710306124859,,,,,,5.623413251903491
S. aureus,,,17.68262831889733,,,,,,6.812920690579611
S. aureus,,,17.680269973827674,,,,,,8.254041852680182
S. aureus,,,17.678918869189292,,,,,,10.0
