species,t_c_asserted_h,t_c_implied_h,t_c_implied_range_h,ratio_asserted_over_implied
Mtb,80.0,33.266170187523905,29.7-46.4,2.404845509688491
S. aureus,12.0,15.511025172449795,14.1-18.8,0.7736432548194191
