species,t_h,N_printed_cfu_ml,log10_fold_printed,N_logistic_capped_cfu_ml,log10_fold_capped,printed_over_K
Mtb,24.0,1958149.7063588055,0.2918458918389852,1956141.553014573,0.29140027860535445,0.0019581497063588054
Mtb,240.0,828817511.4814688,2.918458918389852,439237225.47308743,2.6426991395760466,0.8288175114814688
S. aureus,24.0,128027453452.26405,5.107303107182242,972563007.7075562,2.987917746772349,128.02745345226404
S. aureus,240.0,1.1831262000705783e+57,51.07303107182241,980000000.0,2.9912260756924947,1.1831262000705783e+48
