"Time","death rate"
1,0.00298953662182362
2,0
3,0.00299850074962519
4,0.00150375939849624
5,0.00150602409638554
6,0
7,0.00301659125188537
8,0
9,0.00151285930408472
10,0.00303030303030303
11,0
12,0.00455927051671732
13,0.00305343511450382
14,0.00153139356814701
15,0.00153374233128834
16,0.00153609831029186
17,0.00461538461538462
18,0.00154559505409583
19,0.00309597523219814
20,0.0046583850931677
21,0
22,0.0046801872074883
23,0.00470219435736677
24,0.0015748031496063
25,0
26,0
27,0.00630914826498423
28,0.00476190476190476
29,0.00478468899521531
30,0.00801282051282051
31,0.00807754442649435
32,0.00162866449511401
33,0.0032626427406199
34,0.0016366612111293
35,0.0131147540983607
36,0.00830564784053156
37,0.0100502512562814
38,0.0186125211505922
39,0.0155172413793103
40,0.00875656742556918
41,0.019434628975265
42,0.0216216216216216
43,0.0294659300184162
44,0.0208728652751423
45,0.0213178294573643
46,0.0257425742574257
47,0.0284552845528455
48,0.0251046025104603
49,0.0407725321888412
50,0.0469798657718121
51,0.0352112676056338
52,0.0291970802919708
53,0.0300751879699248
54,0.0387596899224806
55,0.0241935483870968
56,0.0275482093663912
57,0.0169971671388102
58,0.0259365994236311
59,0.029585798816568
60,0.0152439024390244
61,0.0309597523219814
62,0.0159744408945687
63,0.0194805194805195
64,0.00662251655629139
65,0.02
66,0.0204081632653061
67,0.03125
68,0.003584229390681
69,0.0287769784172662
70,0.0222222222222222
71,0.0189393939393939
72,0.0193050193050193
73,0.0196850393700787
74,0.0120481927710843
75,0.024390243902439
76,0.0125
77,0.00843881856540084
78,0.00425531914893617
79,0.00427350427350427
80,0.0171673819742489
81,0.0262008733624454
82,0.00448430493273543
83,0.00900900900900901
84,0.0136363636363636
85,0.0184331797235023
86,0.00469483568075117
87,0
88,0.00943396226415094
89,0.019047619047619
90,0.00485436893203883
91,0.00975609756097561
92,0.0147783251231527
93,0.01
94,0.00505050505050505
95,0.0203045685279188
96,0.0155440414507772
97,0.0157894736842105
98,0
99,0.0053475935828877
100,0.00537634408602151
101,0
102,0.0108108108108108
103,0.00546448087431694
104,0.010989010989011
105,0.0111111111111111
106,0
107,0.0280898876404494
108,0.023121387283237
109,0.00591715976331361
110,0.0297619047619048
111,0.0122699386503067
112,0.0062111801242236
113,0.0125
114,0.0189873417721519
115,0.0129032258064516
116,0.0065359477124183
117,0.00657894736842105
118,0.0198675496688742
119,0.0135135135135135
120,0.00684931506849315
121,0.00689655172413793
122,0.00694444444444444
123,0.013986013986014
124,0
125,0.0283687943262411
126,0.0145985401459854
127,0.0222222222222222
128,0.0151515151515152
129,0.0307692307692308
130,0.00793650793650794
131,0.008
132,0.0161290322580645
133,0.0163934426229508
134,0.0166666666666667
135,0.00847457627118644
136,0.00854700854700855
137,0.0172413793103448
138,0.0087719298245614
139,0.0176991150442478
140,0.00900900900900901
141,0.0272727272727273
142,0.0186915887850467
143,0.00952380952380952
144,0.00961538461538462
145,0
146,0
147,0
148,0
149,0.00970873786407767
150,0.00980392156862745
151,0
152,0
153,0.0297029702970297
154,0.0510204081632653
155,0
156,0.032258064516129
157,0.0111111111111111
158,0.0112359550561798
159,0.0113636363636364
160,0.0229885057471264
161,0.0235294117647059
162,0.0120481927710843
163,0.0121951219512195
164,0.0246913580246914
165,0
166,0.0379746835443038
167,0
168,0.0131578947368421
169,0
170,0.0266666666666667
171,0.0136986301369863
172,0.0138888888888889
173,0.0140845070422535
174,0.0142857142857143
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0.0289855072463768
186,0.0149253731343284
187,0
188,0
189,0.0303030303030303
190,0
191,0
192,0
193,0
194,0
195,0
196,0.03125
197,0.032258064516129
198,0.0333333333333333
199,0
200,0
201,0
202,0
203,0
204,0
205,0.0344827586206897
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0.0178571428571429
216,0
217,0
218,0.0181818181818182
219,0
220,0
221,0
222,0
223,0.0185185185185185
224,0
225,0
226,0
227,0
228,0.0377358490566038
229,0.0392156862745098
230,0
231,0.0204081632653061
232,0
233,0
234,0
235,0
236,0
237,0.0416666666666667
238,0.0217391304347826
239,0.0222222222222222
240,0
241,0
242,0.0227272727272727
243,0
244,0.0232558139534884
245,0.0238095238095238
246,0.024390243902439
247,0.025
248,0
249,0
250,0.0256410256410256
251,0
252,0.0263157894736842
253,0.027027027027027
254,0
255,0
256,0
257,0
258,0
259,0
260,0.0277777777777778
261,0
262,0.0285714285714286
263,0
264,0
265,0.0294117647058824
266,0
267,0
268,0.0303030303030303
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0.0625
279,0.0333333333333333
280,0
281,0.0344827586206897
282,0
283,0.0357142857142857
284,0
285,0.037037037037037
286,0.0384615384615385
287,0
288,0
289,0.08
290,0.0434782608695652
291,0.0454545454545455
292,0.0476190476190476
293,0
294,0.05
295,0.0526315789473684
296,0.111111111111111
297,0.0625
298,0
299,0
300,0.0666666666666667
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0.0714285714285714
309,0.0769230769230769
310,0
311,0
312,0
313,0
314,0.0833333333333333
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0.363636363636364
334,1
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
