Time,Temp,A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,A5,B5,C5,D5,E5,F5,G5,H5,A6,B6,C6,D6,E6,F6,G6,H6,A7,B7,C7,D7,E7,F7,G7,H7,A8,B8,C8,D8,E8,F8,G8,H8,A9,B9,C9,D9,E9,F9,G9,H9
03:20:00,37,0.086,0.087,0.089,0.093,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.089,0.087,0.09,0.088,0.088,0.089,0.09,0.089,0.092,0.09,0.091,0.089,0.092,0.093,0.093,0.095,0.097,0.096,0.096,0.094,0.097,0.097,0.099,0.099,0.102,0.101,0.102,0.099,0.101,0.101,0.101,0.103,0.106,0.104,0.105,0.102,0.109,0.112,0.11,0.111,0.114,0.114,0.113,0.111,0.115,0.114,0.113,0.11,0.113,0.113,0.121,0.115,0.087,0.086,0.086,0.086,0.089,0.088,0.089,0.087
03:40:00,37,0.086,0.087,0.089,0.093,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.089,0.087,0.09,0.088,0.088,0.088,0.089,0.089,0.092,0.09,0.091,0.089,0.09,0.091,0.092,0.093,0.096,0.094,0.094,0.092,0.096,0.096,0.099,0.099,0.101,0.101,0.101,0.098,0.101,0.101,0.101,0.104,0.106,0.104,0.105,0.102,0.115,0.121,0.12,0.12,0.123,0.124,0.122,0.117,0.125,0.125,0.124,0.12,0.124,0.124,0.134,0.126,0.087,0.087,0.086,0.086,0.089,0.088,0.089,0.087
04:00:00,37,0.088,0.086,0.089,0.093,0.087,0.088,0.087,0.087,0.087,0.087,0.086,0.086,0.09,0.087,0.089,0.088,0.087,0.088,0.089,0.089,0.091,0.09,0.09,0.088,0.09,0.09,0.091,0.092,0.094,0.094,0.093,0.091,0.096,0.095,0.098,0.1,0.102,0.1,0.1,0.097,0.1,0.1,0.101,0.106,0.106,0.104,0.104,0.102,0.122,0.134,0.129,0.132,0.135,0.137,0.134,0.124,0.138,0.138,0.136,0.133,0.137,0.137,0.148,0.14,0.087,0.086,0.086,0.086,0.089,0.088,0.089,0.087
04:20:00,37,0.086,0.087,0.089,0.094,0.087,0.088,0.087,0.087,0.087,0.087,0.087,0.086,0.09,0.087,0.089,0.088,0.087,0.088,0.089,0.089,0.091,0.09,0.09,0.088,0.089,0.09,0.09,0.091,0.094,0.093,0.092,0.09,0.095,0.094,0.097,0.098,0.101,0.099,0.098,0.096,0.1,0.1,0.101,0.106,0.106,0.103,0.102,0.101,0.126,0.15,0.134,0.143,0.147,0.146,0.146,0.13,0.154,0.152,0.15,0.147,0.151,0.151,0.165,0.155,0.087,0.088,0.087,0.087,0.089,0.088,0.089,0.087
04:40:00,37,0.086,0.087,0.089,0.094,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.09,0.087,0.09,0.088,0.087,0.088,0.089,0.089,0.091,0.089,0.09,0.088,0.088,0.089,0.088,0.09,0.093,0.092,0.091,0.089,0.093,0.093,0.096,0.097,0.099,0.098,0.097,0.094,0.098,0.101,0.1,0.104,0.106,0.103,0.101,0.099,0.134,0.168,0.147,0.166,0.162,0.157,0.158,0.137,0.171,0.17,0.17,0.166,0.171,0.171,0.19,0.175,0.087,0.087,0.087,0.086,0.089,0.088,0.089,0.087
05:00:00,37,0.086,0.087,0.089,0.093,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.089,0.087,0.089,0.088,0.087,0.087,0.089,0.088,0.09,0.089,0.089,0.088,0.088,0.089,0.088,0.089,0.092,0.092,0.091,0.089,0.092,0.093,0.094,0.096,0.098,0.097,0.095,0.093,0.097,0.1,0.099,0.103,0.106,0.103,0.1,0.098,0.143,0.182,0.159,0.191,0.182,0.174,0.168,0.143,0.195,0.193,0.195,0.194,0.2,0.2,0.222,0.201,0.087,0.089,0.087,0.087,0.089,0.088,0.089,0.087
05:20:00,37,0.085,0.087,0.089,0.093,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.089,0.087,0.089,0.088,0.086,0.087,0.088,0.088,0.09,0.089,0.089,0.088,0.087,0.088,0.087,0.088,0.091,0.091,0.09,0.088,0.091,0.091,0.093,0.095,0.097,0.095,0.094,0.092,0.096,0.098,0.098,0.103,0.105,0.102,0.099,0.097,0.153,0.187,0.173,0.205,0.208,0.19,0.174,0.15,0.224,0.222,0.226,0.228,0.234,0.234,0.26,0.231,0.087,0.086,0.086,0.086,0.089,0.088,0.089,0.087
05:40:00,36.9,0.086,0.087,0.089,0.093,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.089,0.087,0.089,0.088,0.086,0.087,0.088,0.088,0.09,0.089,0.089,0.088,0.087,0.088,0.087,0.088,0.091,0.091,0.09,0.088,0.09,0.091,0.092,0.093,0.095,0.094,0.093,0.091,0.094,0.096,0.097,0.101,0.103,0.102,0.098,0.096,0.163,0.204,0.189,0.217,0.219,0.191,0.188,0.159,0.258,0.257,0.262,0.268,0.277,0.278,0.304,0.265,0.087,0.086,0.086,0.087,0.089,0.088,0.089,0.088
06:00:00,36.9,0.086,0.087,0.089,0.093,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.089,0.087,0.09,0.088,0.086,0.087,0.088,0.088,0.09,0.089,0.089,0.088,0.086,0.087,0.087,0.088,0.091,0.09,0.089,0.087,0.089,0.09,0.091,0.092,0.094,0.093,0.093,0.09,0.093,0.094,0.096,0.099,0.102,0.101,0.098,0.095,0.174,0.222,0.21,0.228,0.25,0.2,0.203,0.17,0.298,0.298,0.302,0.316,0.329,0.33,0.357,0.306,0.087,0.086,0.086,0.086,0.089,0.088,0.089,0.086
06:20:00,37,0.085,0.087,0.089,0.093,0.087,0.088,0.087,0.087,0.086,0.086,0.086,0.085,0.089,0.087,0.089,0.088,0.086,0.087,0.088,0.088,0.09,0.089,0.089,0.087,0.086,0.087,0.086,0.088,0.09,0.09,0.089,0.087,0.088,0.089,0.091,0.091,0.093,0.093,0.091,0.09,0.093,0.093,0.095,0.097,0.1,0.099,0.096,0.094,0.188,0.223,0.229,0.257,0.28,0.221,0.216,0.184,0.343,0.341,0.347,0.368,0.39,0.39,0.418,0.36,0.087,0.086,0.086,0.086,0.089,0.088,0.089,0.087
