"Time","deathratec128"
1,0.00284900284900285
2,0.00571428571428571
3,0.0028735632183908
4,0.00288184438040346
5,0.00578034682080925
6,0
7,0.00581395348837209
8,0
9,0.00584795321637427
10,0.00588235294117647
11,0
12,0.0029585798816568
13,0
14,0.0029673590504451
15,0.00892857142857143
16,0.003003003003003
17,0
18,0
19,0.00301204819277108
20,0
21,0.00302114803625378
22,0.00909090909090909
23,0.00305810397553517
24,0.0122699386503067
25,0.0062111801242236
26,0.00625
27,0.00943396226415094
28,0.019047619047619
29,0.0355987055016181
30,0.0201342281879195
31,0.00684931506849315
32,0.0137931034482759
33,0.0384615384615385
34,0.0363636363636364
35,0.0452830188679245
36,0.0513833992094862
37,0.0416666666666667
38,0.0260869565217391
39,0.0133928571428571
40,0.0316742081447964
41,0.0327102803738318
42,0.0434782608695652
43,0.0404040404040404
44,0.00526315789473684
45,0.0211640211640212
46,0.0162162162162162
47,0.0384615384615385
48,0.0114285714285714
49,0.046242774566474
50,0.0303030303030303
51,0.0125
52,0.0316455696202532
53,0.0130718954248366
54,0.00662251655629139
55,0.0266666666666667
56,0.0136986301369863
57,0.0208333333333333
58,0.0212765957446809
59,0.0144927536231884
60,0.0220588235294118
61,0
62,0.0225563909774436
63,0.0230769230769231
64,0
65,0.0078740157480315
66,0.0317460317460317
67,0
68,0.00819672131147541
69,0.00826446280991736
70,0.0333333333333333
71,0.0172413793103448
72,0
73,0.0087719298245614
74,0
75,0.0176991150442478
76,0.027027027027027
77,0.0185185185185185
78,0.00943396226415094
79,0.00952380952380952
80,0
81,0.00961538461538462
82,0
83,0.0194174757281553
84,0.0297029702970297
85,0
86,0.0102040816326531
87,0.0309278350515464
88,0.0106382978723404
89,0
90,0
91,0.010752688172043
92,0.0108695652173913
93,0
94,0
95,0
96,0.010989010989011
97,0
98,0
99,0
100,0.0111111111111111
101,0.0112359550561798
102,0.0227272727272727
103,0
104,0
105,0.0116279069767442
106,0
107,0.0117647058823529
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0.0119047619047619
117,0.0120481927710843
118,0.024390243902439
119,0.0125
120,0.0253164556962025
121,0
122,0.012987012987013
123,0.0131578947368421
124,0
125,0.0133333333333333
126,0.0135135135135135
127,0
128,0.0136986301369863
129,0.0138888888888889
130,0
131,0.0140845070422535
132,0
133,0
134,0.0285714285714286
135,0
136,0
137,0
138,0
139,0.0147058823529412
140,0
141,0
142,0
143,0
144,0.0298507462686567
145,0.0153846153846154
146,0.03125
147,0.0161290322580645
148,0.0163934426229508
149,0
150,0
151,0
152,0.0166666666666667
153,0
154,0
155,0
156,0
157,0.0169491525423729
158,0
159,0.0172413793103448
160,0.0175438596491228
161,0.0178571428571429
162,0
163,0
164,0
165,0
166,0.0181818181818182
167,0
168,0
169,0
170,0
171,0
172,0.037037037037037
173,0
174,0.0192307692307692
175,0.0196078431372549
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0.02
192,0
193,0
194,0.0204081632653061
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0.0208333333333333
207,0.0212765957446809
208,0
209,0
210,0
211,0
212,0.0217391304347826
213,0
214,0
215,0
216,0
217,0
218,0.0222222222222222
219,0
220,0
221,0.0227272727272727
222,0
223,0
224,0
225,0.0232558139534884
226,0
227,0
228,0
229,0
230,0
231,0.0238095238095238
232,0
233,0
234,0
235,0
236,0.024390243902439
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0.025
247,0
248,0
249,0
250,0.0256410256410256
251,0.0526315789473684
252,0.0277777777777778
253,0
254,0.0285714285714286
255,0.0294117647058824
256,0.0606060606060606
257,0
258,0.032258064516129
259,0.0333333333333333
260,0
261,0
262,0
263,0
264,0.0344827586206897
265,0
266,0.0714285714285714
267,0
268,0
269,0
270,0
271,0.0384615384615385
272,0
273,0
274,0.04
275,0.0833333333333333
276,0.0454545454545455
277,0.0476190476190476
278,0
279,0
280,0
281,0
282,0.05
283,0.105263157894737
284,0.0588235294117647
285,0.0625
286,0.0666666666666667
287,0
288,0.0714285714285714
289,0.153846153846154
290,0
291,0.181818181818182
292,0.333333333333333
293,0.166666666666667
294,0.4
295,0
296,0.666666666666667
297,1
298,NA
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
