"""ID"",""dx"",""surv"",""lx"",""age"",""qx"",""sx"",""Treat"",""m.av"",""prop.cells"""
"349,1,130,131,1045,0.00763358778625954,0.14460511679644,""MG1655, N =  899 cells"",0.0142545290759073,0.145717463848721"
"350,1,129,130,1048,0.00769230769230769,0.14349276974416,""MG1655, N =  899 cells"",0.0126261765854859,0.144605116796441"
"351,4,125,129,1051,0.0310077519379845,0.139043381535039,""MG1655, N =  899 cells"",0.0121430847980462,0.14349276974416"
"352,2,123,125,1054,0.016,0.136818687430478,""MG1655, N =  899 cells"",0.0122412621148175,0.139043381535039"
"353,1,122,123,1057,0.00813008130081301,0.135706340378198,""MG1655, N =  899 cells"",0.0118508404594297,0.136818687430478"
"354,1,121,122,1060,0.00819672131147541,0.134593993325918,""MG1655, N =  899 cells"",0.013139042307333,0.135706340378198"
"355,2,119,121,1063,0.0165289256198347,0.132369299221357,""MG1655, N =  899 cells"",0.01375066310244,0.134593993325918"
"356,3,116,119,1066,0.0252100840336134,0.129032258064516,""MG1655, N =  899 cells"",0.0133654407873932,0.132369299221357"
"357,2,114,116,1069,0.0172413793103448,0.126807563959955,""MG1655, N =  899 cells"",0.0147256938134805,0.129032258064516"
"358,0,114,114,1072,0,0.126807563959955,""MG1655, N =  899 cells"",0.0148538989416857,0.126807563959956"
"359,1,113,114,1075,0.0087719298245614,0.125695216907675,""MG1655, N =  899 cells"",0.0140812138610304,0.126807563959956"
"360,1,112,113,1078,0.00884955752212389,0.124582869855395,""MG1655, N =  899 cells"",0.014334679207565,0.125695216907675"
"361,3,109,112,1081,0.0267857142857143,0.121245828698554,""MG1655, N =  899 cells"",0.0144660744609115,0.124582869855395"
"362,1,108,109,1084,0.00917431192660551,0.120133481646274,""MG1655, N =  899 cells"",0.0152801705911669,0.121245828698554"
"363,1,107,108,1087,0.00925925925925926,0.119021134593993,""MG1655, N =  899 cells"",0.0141782422165112,0.120133481646274"
"364,3,104,107,1090,0.0280373831775701,0.115684093437152,""MG1655, N =  899 cells"",0.014580903280937,0.119021134593993"
"365,1,103,104,1093,0.00961538461538462,0.114571746384872,""MG1655, N =  899 cells"",0.0134314779935807,0.115684093437152"
"366,2,101,103,1096,0.0194174757281553,0.112347052280311,""MG1655, N =  899 cells"",0.0141483238717169,0.114571746384872"
"367,2,99,101,1099,0.0198019801980198,0.110122358175751,""MG1655, N =  899 cells"",0.0142881662312389,0.112347052280311"
"368,1,98,99,1102,0.0101010101010101,0.10901001112347,""MG1655, N =  899 cells"",0.013698195729764,0.110122358175751"
"369,2,96,98,1105,0.0204081632653061,0.10678531701891,""MG1655, N =  899 cells"",0.0133776829092511,0.109010011123471"
"370,0,96,96,1108,0,0.10678531701891,""MG1655, N =  899 cells"",0.0127660621141441,0.10678531701891"
"371,3,93,96,1111,0.03125,0.103448275862069,""MG1655, N =  899 cells"",0.0128978418339388,0.10678531701891"
"372,0,93,93,1114,0,0.103448275862069,""MG1655, N =  899 cells"",0.0110286829554341,0.103448275862069"
"373,1,92,93,1117,0.010752688172043,0.102335928809789,""MG1655, N =  899 cells"",0.0126603845871358,0.103448275862069"
"374,1,91,92,1120,0.0108695652173913,0.101223581757508,""MG1655, N =  899 cells"",0.0113658862052587,0.102335928809789"
"375,0,91,91,1123,0,0.101223581757508,""MG1655, N =  899 cells"",0.0108300679175476,0.101223581757508"
"376,2,89,91,1126,0.021978021978022,0.0989988876529477,""MG1655, N =  899 cells"",0.0117439688314485,0.101223581757508"
"377,0,89,89,1129,0,0.0989988876529477,""MG1655, N =  899 cells"",0.0103834246137615,0.0989988876529477"
"378,1,88,89,1132,0.0112359550561798,0.0978865406006674,""MG1655, N =  899 cells"",0.0120094408739241,0.0989988876529477"
"379,0,88,88,1135,0,0.0978865406006674,""MG1655, N =  899 cells"",0.0107594408739241,0.0978865406006674"
"380,3,85,88,1138,0.0340909090909091,0.0945494994438264,""MG1655, N =  899 cells"",0.0116033227304641,0.0978865406006674"
"381,0,85,85,1141,0,0.0945494994438264,""MG1655, N =  899 cells"",0.0125958785617297,0.0945494994438265"
"382,1,84,85,1144,0.0117647058823529,0.0934371523915461,""MG1655, N =  899 cells"",0.0118712408805702,0.0945494994438265"
"383,2,82,84,1147,0.0238095238095238,0.0912124582869855,""MG1655, N =  899 cells"",0.0136256268454825,0.0934371523915462"
"384,0,82,82,1150,0,0.0912124582869855,""MG1655, N =  899 cells"",0.0139622271820829,0.0912124582869855"
"385,2,80,82,1153,0.024390243902439,0.0889877641824249,""MG1655, N =  899 cells"",0.0148881531080088,0.0912124582869855"
"386,1,79,80,1156,0.0125,0.0878754171301446,""MG1655, N =  899 cells"",0.015078056573747,0.0889877641824249"
"387,1,78,79,1159,0.0126582278481013,0.0867630700778643,""MG1655, N =  899 cells"",0.015078056573747,0.0878754171301446"
"388,2,76,78,1162,0.0256410256410256,0.0845383759733036,""MG1655, N =  899 cells"",0.0128053293010198,0.0867630700778643"
"389,0,76,76,1165,0,0.0845383759733036,""MG1655, N =  899 cells"",0.0128053293010198,0.0845383759733037"
"390,2,74,76,1168,0.0263157894736842,0.082313681868743,""MG1655, N =  899 cells"",0.0129733965279105,0.0845383759733037"
"391,2,72,74,1171,0.027027027027027,0.0800889877641824,""MG1655, N =  899 cells"",0.0123522785154881,0.082313681868743"
"392,1,71,72,1174,0.0138888888888889,0.0789766407119021,""MG1655, N =  899 cells"",0.0123522785154881,0.0800889877641824"
"393,1,70,71,1177,0.0140845070422535,0.0778642936596218,""MG1655, N =  899 cells"",0.0107262622553255,0.0789766407119021"
"394,0,70,70,1180,0,0.0778642936596218,""MG1655, N =  899 cells"",0.010873321078855,0.0778642936596218"
"395,0,70,70,1183,0,0.0778642936596218,""MG1655, N =  899 cells"",0.0110244640979368,0.0778642936596218"
"396,0,70,70,1186,0,0.0778642936596218,""MG1655, N =  899 cells"",0.0113352644087371,0.0778642936596218"
"397,1,69,70,1189,0.0142857142857143,0.0767519466073415,""MG1655, N =  899 cells"",0.0134185977420704,0.0778642936596218"
"398,1,68,69,1192,0.0144927536231884,0.0756395995550612,""MG1655, N =  899 cells"",0.0127394805943624,0.0767519466073415"
"399,0,68,68,1195,0,0.0756395995550612,""MG1655, N =  899 cells"",0.012030574967424,0.0756395995550612"
"400,0,68,68,1198,0,0.0756395995550612,""MG1655, N =  899 cells"",0.0122157601526092,0.0756395995550612"
"401,1,67,68,1201,0.0147058823529412,0.0745272525027809,""MG1655, N =  899 cells"",0.0124067365192838,0.0756395995550612"
"402,1,66,67,1204,0.0149253731343284,0.0734149054505005,""MG1655, N =  899 cells"",0.0124067365192838,0.0745272525027809"
"403,2,64,66,1207,0.0303030303030303,0.0711902113459399,""MG1655, N =  899 cells"",0.0124067365192838,0.0734149054505006"
"404,2,62,64,1210,0.03125,0.0689655172413793,""MG1655, N =  899 cells"",0.0124067365192838,0.0711902113459399"
"405,1,61,62,1213,0.0161290322580645,0.067853170189099,""MG1655, N =  899 cells"",0.0126037808542592,0.0689655172413793"
"406,1,60,61,1216,0.0163934426229508,0.0667408231368187,""MG1655, N =  899 cells"",0.0128071879226548,0.067853170189099"
"407,1,59,60,1219,0.0166666666666667,0.0656284760845384,""MG1655, N =  899 cells"",0.013997664113131,0.0667408231368187"
"408,1,58,59,1222,0.0169491525423729,0.064516129032258,""MG1655, N =  899 cells"",0.0164219065373734,0.0656284760845384"
"409,0,58,58,1225,0,0.064516129032258,""MG1655, N =  899 cells"",0.0166993760157308,0.0645161290322581"
"410,0,58,58,1228,0,0.064516129032258,""MG1655, N =  899 cells"",0.0169864024221602,0.0645161290322581"
"411,0,58,58,1231,0,0.064516129032258,""MG1655, N =  899 cells"",0.0175805794869255,0.0645161290322581"
"412,1,57,58,1234,0.0172413793103448,0.0634037819799777,""MG1655, N =  899 cells"",0.0168577903712793,0.0645161290322581"
"413,1,56,57,1237,0.0175438596491228,0.0622914349276974,""MG1655, N =  899 cells"",0.0157825215540749,0.0634037819799778"
"414,1,55,56,1240,0.0178571428571429,0.0611790878754171,""MG1655, N =  899 cells"",0.0160785142681005,0.0622914349276974"
"415,2,53,55,1243,0.0363636363636364,0.0589543937708565,""MG1655, N =  899 cells"",0.0163858428733014,0.0611790878754171"
"416,1,52,53,1246,0.0188679245283019,0.0578420467185762,""MG1655, N =  899 cells"",0.0152558993704765,0.0589543937708565"
"417,1,51,52,1249,0.0192307692307692,0.0567296996662959,""MG1655, N =  899 cells"",0.0181544500951142,0.0578420467185762"
"418,2,49,51,1252,0.0392156862745098,0.0545050055617352,""MG1655, N =  899 cells"",0.0211847531254173,0.0567296996662959"
"419,1,48,49,1255,0.0204081632653061,0.0533926585094549,""MG1655, N =  899 cells"",0.0211847531254173,0.0545050055617353"
"420,0,48,48,1258,0,0.0533926585094549,""MG1655, N =  899 cells"",0.0200353278380609,0.053392658509455"
"421,1,47,48,1261,0.0208333333333333,0.0522803114571746,""MG1655, N =  899 cells"",0.0188657371947861,0.053392658509455"
"422,1,46,47,1264,0.0212765957446809,0.0511679644048943,""MG1655, N =  899 cells"",0.0192625625916115,0.0522803114571746"
"423,0,46,46,1267,0,0.0511679644048943,""MG1655, N =  899 cells"",0.016838320167369,0.0511679644048943"
"424,2,44,46,1270,0.0434782608695652,0.0489432703003337,""MG1655, N =  899 cells"",0.0155804585321489,0.0511679644048943"
"425,2,42,44,1273,0.0454545454545455,0.0467185761957731,""MG1655, N =  899 cells"",0.0191764560305854,0.0489432703003337"
"426,0,42,42,1276,0,0.0467185761957731,""MG1655, N =  899 cells"",0.021825234840355,0.0467185761957731"
"427,0,42,42,1279,0,0.0467185761957731,""MG1655, N =  899 cells"",0.0204646906226679,0.0467185761957731"
"428,0,42,42,1282,0,0.0467185761957731,""MG1655, N =  899 cells"",0.0223694525274298,0.0467185761957731"
"429,1,41,42,1285,0.0238095238095238,0.0456062291434928,""MG1655, N =  899 cells"",0.0229413479522664,0.0467185761957731"
"430,0,41,41,1288,0,0.0456062291434928,""MG1655, N =  899 cells"",0.0215229082359543,0.0456062291434928"
"431,0,41,41,1291,0,0.0456062291434928,""MG1655, N =  899 cells"",0.0215229082359543,0.0456062291434928"
"432,3,38,41,1294,0.0731707317073171,0.0422691879866518,""MG1655, N =  899 cells"",0.0226647615517207,0.0456062291434928"
"433,3,35,38,1297,0.0789473684210526,0.0389321468298109,""MG1655, N =  899 cells"",0.0217849961558263,0.0422691879866518"
"434,0,35,35,1300,0,0.0389321468298109,""MG1655, N =  899 cells"",0.0262294406002707,0.0389321468298109"
"435,1,34,35,1303,0.0285714285714286,0.0378197997775306,""MG1655, N =  899 cells"",0.0262294406002707,0.0389321468298109"
"436,1,33,34,1306,0.0294117647058824,0.0367074527252503,""MG1655, N =  899 cells"",0.0262294406002707,0.0378197997775306"
"437,0,33,33,1309,0,0.0367074527252503,""MG1655, N =  899 cells"",0.0246421390129691,0.0367074527252503"
"438,0,33,33,1312,0,0.0367074527252503,""MG1655, N =  899 cells"",0.0246421390129691,0.0367074527252503"
"439,2,31,33,1315,0.0606060606060606,0.0344827586206896,""MG1655, N =  899 cells"",0.0246421390129691,0.0367074527252503"
"440,1,30,31,1318,0.032258064516129,0.0333704115684093,""MG1655, N =  899 cells"",0.0197640902324813,0.0344827586206897"
"441,2,28,30,1321,0.0666666666666667,0.0311457174638487,""MG1655, N =  899 cells"",0.0145009323377445,0.0333704115684093"
"442,0,28,28,1324,0,0.0311457174638487,""MG1655, N =  899 cells"",0.0145009323377445,0.0311457174638487"
"443,0,28,28,1327,0,0.0311457174638487,""MG1655, N =  899 cells"",0.0125961704329826,0.0311457174638487"
"444,0,28,28,1330,0,0.0311457174638487,""MG1655, N =  899 cells"",0.0106353861192571,0.0311457174638487"
"445,0,28,28,1333,0,0.0311457174638487,""MG1655, N =  899 cells"",0.0130163385002095,0.0311457174638487"
"446,0,28,28,1336,0,0.0311457174638487,""MG1655, N =  899 cells"",0.0154854743026786,0.0311457174638487"
"447,0,28,28,1339,0,0.0311457174638487,""MG1655, N =  899 cells"",0.0140091728263771,0.0311457174638487"
"448,0,28,28,1342,0,0.0311457174638487,""MG1655, N =  899 cells"",0.0118586351919685,0.0311457174638487"
"449,0,28,28,1345,0,0.0311457174638487,""MG1655, N =  899 cells"",0.0100808574141907,0.0311457174638487"
"450,0,28,28,1348,0,0.0311457174638487,""MG1655, N =  899 cells"",0.0100808574141907,0.0311457174638487"
"451,0,28,28,1351,0,0.0311457174638487,""MG1655, N =  899 cells"",0.0156364129697463,0.0311457174638487"
"452,1,27,28,1354,0.0357142857142857,0.0300333704115684,""MG1655, N =  899 cells"",0.0186667160000493,0.0311457174638487"
"453,1,26,27,1357,0.037037037037037,0.0289210233592881,""MG1655, N =  899 cells"",0.0186667160000493,0.0300333704115684"
"454,1,25,26,1360,0.0384615384615385,0.0278086763070078,""MG1655, N =  899 cells"",0.0218413191746525,0.0289210233592881"
"455,0,25,25,1363,0,0.0278086763070078,""MG1655, N =  899 cells"",0.0218413191746525,0.0278086763070078"
"456,1,24,25,1366,0.04,0.0266963292547275,""MG1655, N =  899 cells"",0.0285079858413192,0.0278086763070078"
"457,0,24,24,1369,0,0.0266963292547275,""MG1655, N =  899 cells"",0.0322116895450229,0.0266963292547275"
"458,2,22,24,1372,0.0833333333333333,0.0244716351501668,""MG1655, N =  899 cells"",0.0322116895450229,0.0266963292547275"
"459,1,21,22,1375,0.0454545454545455,0.0233592880978865,""MG1655, N =  899 cells"",0.0322116895450229,0.0244716351501669"
"460,0,21,21,1378,0,0.0233592880978865,""MG1655, N =  899 cells"",0.0298307371640705,0.0233592880978865"
"461,1,20,21,1381,0.0476190476190476,0.0222469410456062,""MG1655, N =  899 cells"",0.0312831699890523,0.0233592880978865"
"462,0,20,20,1384,0,0.0222469410456062,""MG1655, N =  899 cells"",0.0287190674249498,0.0222469410456062"
"463,2,18,20,1387,0.1,0.0200222469410456,""MG1655, N =  899 cells"",0.0287190674249498,0.0222469410456062"
"464,1,17,18,1390,0.0555555555555556,0.0189098998887653,""MG1655, N =  899 cells"",0.0302190674249498,0.0200222469410456"
"465,0,17,17,1393,0,0.0189098998887653,""MG1655, N =  899 cells"",0.0391079563138387,0.0189098998887653"
"466,0,17,17,1396,0,0.0189098998887653,""MG1655, N =  899 cells"",0.0438088110146934,0.0189098998887653"
"467,0,17,17,1399,0,0.0189098998887653,""MG1655, N =  899 cells"",0.0528997201056025,0.0189098998887653"
"468,1,16,17,1402,0.0588235294117647,0.017797552836485,""MG1655, N =  899 cells"",0.0603071275130099,0.0189098998887653"
"469,0,16,16,1405,0,0.017797552836485,""MG1655, N =  899 cells"",0.0571325243384067,0.017797552836485"
"470,0,16,16,1408,0,0.017797552836485,""MG1655, N =  899 cells"",0.0737991910050733,0.017797552836485"
"471,1,15,16,1411,0.0625,0.0166852057842047,""MG1655, N =  899 cells"",0.0671325243384067,0.017797552836485"
"472,2,13,15,1414,0.133333333333333,0.014460511679644,""MG1655, N =  899 cells"",0.063428820634703,0.0166852057842047"
"473,2,11,13,1417,0.153846153846154,0.0122358175750834,""MG1655, N =  899 cells"",0.063428820634703,0.014460511679644"
"474,2,9,11,1420,0.181818181818182,0.0100111234705228,""MG1655, N =  899 cells"",0.0745399317458141,0.0122358175750834"
"475,1,8,9,1423,0.111111111111111,0.00889877641824249,""MG1655, N =  899 cells"",0.0745399317458141,0.0100111234705228"
"476,0,8,8,1426,0,0.00889877641824249,""MG1655, N =  899 cells"",0.0972850297850298,0.00889877641824249"
"477,2,6,8,1429,0.25,0.00667408231368187,""MG1655, N =  899 cells"",0.0972850297850298,0.00889877641824249"
"478,0,6,6,1432,0,0.00667408231368187,""MG1655, N =  899 cells"",0.0972850297850298,0.00667408231368187"
"479,0,6,6,1435,0,0.00667408231368187,""MG1655, N =  899 cells"",0.0931183631183631,0.00667408231368187"
"480,0,6,6,1438,0,0.00667408231368187,""MG1655, N =  899 cells"",0.106451696451696,0.00667408231368187"
"481,1,5,6,1441,0.166666666666667,0.00556173526140155,""MG1655, N =  899 cells"",0.12952861952862,0.00667408231368187"
"482,0,5,5,1444,0,0.00556173526140155,""MG1655, N =  899 cells"",0.117407407407407,0.00556173526140156"
"483,2,3,5,1447,0.4,0.00333704115684093,""MG1655, N =  899 cells"",0.11,0.00556173526140156"
"484,0,3,3,1450,0,0.00333704115684093,""MG1655, N =  899 cells"",0.11,0.00333704115684093"
"485,0,3,3,1453,0,0.00333704115684093,""MG1655, N =  899 cells"",0.0933333333333333,0.00333704115684093"
"486,0,3,3,1456,0,0.00333704115684093,""MG1655, N =  899 cells"",0.0933333333333333,0.00333704115684093"
"487,1,2,3,1459,0.333333333333333,0.00222469410456062,""MG1655, N =  899 cells"",0.0933333333333333,0.00333704115684093"
"488,1,1,2,1462,0.5,0.00111234705228031,""MG1655, N =  899 cells"",0.0933333333333333,0.00222469410456062"
