"""ID"",""dx"",""surv"",""lx"",""age"",""qx"",""sx"",""Treat"",""m.av"",""prop.cells"""
"489,0,1,1,1465,0,0.00111234705228031,""MG1655, N =  899 cells"",0.0822222222222222,0.00111234705228031"
"490,0,1,1,1468,0,0.00111234705228031,""MG1655, N =  899 cells"",0.0822222222222222,0.00111234705228031"
"491,0,1,1,1471,0,0.00111234705228031,""MG1655, N =  899 cells"",0.0555555555555556,0.00111234705228031"
"492,0,1,1,1474,0,0.00111234705228031,""MG1655, N =  899 cells"",0.0555555555555556,0.00111234705228031"
"493,0,1,1,1477,0,0.00111234705228031,""MG1655, N =  899 cells"",NA,0.00111234705228031"
"494,0,1,1,1480,0,0.00111234705228031,""MG1655, N =  899 cells"",NA,0.00111234705228031"
"495,0,1,1,1483,0,0.00111234705228031,""MG1655, N =  899 cells"",NA,0.00111234705228031"
"496,0,1,1,1486,0,0.00111234705228031,""MG1655, N =  899 cells"",NA,0.00111234705228031"
"497,0,1,1,1489,0,0.00111234705228031,""MG1655, N =  899 cells"",NA,0.00111234705228031"
"498,0,1,1,1492,0,0.00111234705228031,""MG1655, N =  899 cells"",NA,0.00111234705228031"
"499,0,1,1,1495,0,0.00111234705228031,""MG1655, N =  899 cells"",NA,0.00111234705228031"
