Time;TimeMin;Column;Conc;Replicates_Row;N_of_colonies;Dilution_factor;Vol_plated_mL;CFU_mL
1;150;6;4;3;6;1000;0,005;1,20E+06
1;150;6;4;4;4;1000;0,005;8,00E+05
1;150;6;4;5;3;10000;0,005;6,00E+06
1;150;6;4;6;4;10000;0,005;8,00E+06
1;150;6;4;7;13;10000;0,005;2,60E+07
1;150;6;4;8;9;10000;0,005;1,80E+07
1;150;7;2;1;14;1000;0,005;2,80E+06
1;150;7;2;2;13;1000;0,005;2,60E+06
1;150;7;2;3;3;10000;0,005;6,00E+06
1;150;7;2;4;2;10000;0,005;4,00E+06
1;150;7;2;5;1;10000;0,005;2,00E+06
1;150;7;2;6;2;10000;0,005;4,00E+06
1;150;7;2;7;12;1000;0,005;2,40E+06
1;150;7;2;8;2;10000;0,005;4,00E+06
1;150;8;0;1;6;10000;0,005;1,20E+07
1;150;8;0;2;5;10000;0,005;1,00E+07
1;150;8;0;3;3;10000;0,005;6,00E+06
1;150;8;0;4;3;10000;0,005;6,00E+06
1;150;8;0;5;27;1000;0,005;5,40E+06
1;150;8;0;6;5;10000;0,005;1,00E+07
1;150;8;0;7;4;10000;0,005;8,00E+06
1;150;8;0;8;2;10000;0,005;4,00E+06
2;330;1;128;1;5;10;0,005;1,00E+04
2;330;1;128;2;3;10;0,005;6,00E+03
2;330;1;128;3;4;10;0,005;8,00E+03
2;330;1;128;4;5;10;0,005;1,00E+04
2;330;1;128;5;2;10;0,005;4,00E+03
2;330;1;128;6;7;10;0,005;1,40E+04
2;330;1;128;7;4;10;0,005;8,00E+03
2;330;1;128;8;21;1;0,005;4,20E+03
2;330;2;64;1;5;100;0,005;1,00E+05
2;330;2;64;2;10;100;0,005;2,00E+05
2;330;2;64;3;2;100;0,005;4,00E+04
2;330;2;64;4;5;100;0,005;1,00E+05
2;330;2;64;5;11;100;0,005;2,20E+05
2;330;2;64;6;7;100;0,005;1,40E+05
2;330;2;64;7;7;100;0,005;1,40E+05
2;330;2;64;8;4;100;0,005;8,00E+04
2;330;3;32;1;20;1000;0,005;4,00E+06
2;330;3;32;2;6;10000;0,005;1,20E+07
2;330;3;32;3;1;10000;0,005;2,00E+06
2;330;3;32;4;1;10000;0,005;2,00E+06
2;330;3;32;5;2;10000;0,005;4,00E+06
2;330;3;32;6;3;10000;0,005;6,00E+06
2;330;3;32;7;2;10000;0,005;4,00E+06
2;330;3;32;8;2;10000;0,005;4,00E+06
2;330;4;16;1;6;10000;0,005;1,20E+07
2;330;4;16;2;9;10000;0,005;1,80E+07
2;330;4;16;3;6;10000;0,005;1,20E+07
2;330;4;16;4;39;1000;0,005;7,80E+06
2;330;4;16;5;4;10000;0,005;8,00E+06
2;330;4;16;6;4;10000;0,005;8,00E+06
2;330;4;16;7;7;10000;0,005;1,40E+07
2;330;4;16;8;7;10000;0,005;1,40E+07
2;330;5;8;1;6;10000;0,005;1,20E+07
2;330;5;8;2;10;10000;0,005;2,00E+07
2;330;5;8;3;10;10000;0,005;2,00E+07
2;330;5;8;4;8;10000;0,005;1,60E+07
2;330;5;8;5;7;10000;0,005;1,40E+07
2;330;5;8;6;15;10000;0,005;3,00E+07
2;330;5;8;7;25;10000;0,005;5,00E+07
2;330;5;8;8;20;10000;0,005;4,00E+07
2;330;6;4;1;24;10000;0,005;4,80E+07
2;330;6;4;2;17;10000;0,005;3,40E+07
2;330;6;4;3;11;10000;0,005;2,20E+07
2;330;6;4;4;9;10000;0,005;1,80E+07
2;330;6;4;5;15;10000;0,005;3,00E+07
2;330;6;4;6;3;100000;0,005;6,00E+07
2;330;6;4;7;3;100000;0,005;6,00E+07
2;330;6;4;8;2;100000;0,005;4,00E+07
2;330;7;2;1;3;100000;0,005;6,00E+07
2;330;7;2;2;2;100000;0,005;4,00E+07
2;330;7;2;3;4;100000;0,005;8,00E+07
2;330;7;2;4;4;100000;0,005;8,00E+07
2;330;7;2;5;14;10000;0,005;2,80E+07
2;330;7;2;6;5;100000;0,005;1,00E+08
2;330;7;2;7;27;10000;0,005;5,40E+07
2;330;7;2;8;28;10000;0,005;5,60E+07
2;330;8;0;1;2;100000;0,005;4,00E+07
2;330;8;0;2;3;100000;0,005;6,00E+07
2;330;8;0;3;4;100000;0,005;8,00E+07
2;330;8;0;4;17;10000;0,005;3,40E+07
2;330;8;0;5;2;100000;0,005;4,00E+07
2;330;8;0;6;25;10000;0,005;5,00E+07
2;330;8;0;7;4;100000;0,005;8,00E+07
2;330;8;0;8;4;100000;0,005;8,00E+07
3;420;1;128;1;0;10;0,005;0,00E+00
3;420;1;128;2;0;10;0,005;0,00E+00
3;420;1;128;3;0;10;0,005;0,00E+00
3;420;1;128;4;0;10;0,005;0,00E+00
3;420;1;128;5;1;1;0,005;2,00E+02
3;420;1;128;6;0;10;0,005;0,00E+00
3;420;1;128;7;0;10;0,005;0,00E+00
3;420;1;128;8;0;1;0,005;0,00E+00
3;420;2;64;1;5;10;0,005;1,00E+04
3;420;2;64;2;7;10;0,005;1,40E+04
3;420;2;64;3;5;10;0,005;1,00E+04
3;420;2;64;4;10;10;0,005;2,00E+04
3;420;2;64;5;6;10;0,005;1,20E+04
3;420;2;64;6;4;10;0,005;8,00E+03
3;420;2;64;7;3;10;0,005;6,00E+03
3;420;2;64;8;3;10;0,005;6,00E+03
3;420;3;32;1;6;1000;0,005;1,20E+06
3;420;3;32;2;6;1000;0,005;1,20E+06
3;420;3;32;3;7;1000;0,005;1,40E+06
3;420;3;32;4;9;1000;0,005;1,80E+06
3;420;3;32;5;6;1000;0,005;1,20E+06
3;420;3;32;6;10;1000;0,005;2,00E+06
3;420;3;32;7;7;1000;0,005;1,40E+06
3;420;3;32;8;7;1000;0,005;1,40E+06
3;420;4;16;1;11;10000;0,005;2,20E+07
3;420;4;16;2;2;10000;0,005;4,00E+06
3;420;4;16;3;4;10000;0,005;8,00E+06
3;420;4;16;4;3;10000;0,005;6,00E+06
3;420;4;16;5;4;10000;0,005;8,00E+06
3;420;4;16;6;4;10000;0,005;8,00E+06
3;420;4;16;7;6;10000;0,005;1,20E+07
3;420;4;16;8;7;10000;0,005;1,40E+07
3;420;5;8;1;7;10000;0,005;1,40E+07
3;420;5;8;2;7;10000;0,005;1,40E+07
3;420;5;8;3;10;10000;0,005;2,00E+07
3;420;5;8;4;7;10000;0,005;1,40E+07
3;420;5;8;5;8;10000;0,005;1,60E+07
3;420;5;8;6;14;10000;0,005;2,80E+07
3;420;5;8;7;11;10000;0,005;2,20E+07
3;420;5;8;8;16;10000;0,005;3,20E+07
3;420;6;4;1;3;100000;0,005;6,00E+07
3;420;6;4;2;11;10000;0,005;2,20E+07
3;420;6;4;3;22;10000;0,005;4,40E+07
