learner,mae_in_box,mae_out_of_box,degradation
"linear, log inputs",2.9295454950784006e-15,6.7887917509779076e-15,2.317353242126805
"neural net, raw inputs",0.017790653408189083,3.1920394740196363,179.42227307684678
"neural net, log inputs",0.00157963498287649,2.69208784175836,1704.2467854542642
