stratum,n_clones,spearman_rho,p_value,detectable_rho_at_95pct,independent
all clones,126,0.04329943661519372,0.6302202065803402,0.1749100679473725,True
nutrient 0.25,57,0.21279210857437209,0.11201222160226679,0.26057222464282215,True
nutrient 0.5,53,0.19455347257768005,0.16272150169711797,0.2702985332093073,True
nutrient 0.8,16,0.07381661411884827,0.785864054182558,0.4957128641695042,True
