outcome,n,total_c,ade,acme,prop_mediated,total_ci_low,total_ci_high,ade_ci_low,ade_ci_high,acme_ci_low,acme_ci_high,acme_ci_excludes_zero
high_vs_rest,203,0.1211484593837534,0.01343406896786869,0.10771439041588475,0.8891106908316968,-0.0008642230607205957,0.24177050176101247,-0.13064161524667423,0.15329243035284312,0.03672392437009556,0.18859279942969379,True
notlow_vs_low,203,0.13515406162464957,0.07736119715266271,0.05779286447198703,0.4276073081139775,0.037053237449594066,0.23047960471977144,-0.0381368302207896,0.18974650723558445,0.0030319195641900732,0.12087228892720565,True
linear_012,203,0.2563025210084025,0.09079526612053111,0.16550725488787185,0.645749617431371,0.08651441594316411,0.4250781561307343,-0.11586167733333236,0.2873838251716774,0.0670303491673109,0.2789305646408524,True
