arm,flask,floor_10ul,floor_100ul,headroom_10ul,headroom_100ul,n0_10ul,n0_100ul,headroom_gained_by_plating_more
HIGH,1,50.0,5.0,4.857332496431268,5.9084850188786495,3600000.0,4050000.0,1.0511525224473814
HIGH,2,50.0,5.0,4.949390006644912,5.819543935541868,4450000.0,3300000.0,0.870153928896956
HIGH,3,50.0,5.0,4.949390006644912,5.897627091290442,4450000.0,3950000.0,0.9482370846455295
LOW,1,50.0,5.0,3.0644579892269186,4.193124598354461,58000.0,78000.0,1.1286666091275426
LOW,2,50.0,5.0,2.929418925714293,4.113943352306837,42500.0,65000.0,1.184524426592544
LOW,3,50.0,5.0,2.9590413923210934,4.0,45500.0,50000.0,1.0409586076789066
MID,1,50.0,5.0,3.929418925714293,5.05307844348342,425000.0,565000.0,1.123659517769127
MID,2,50.0,5.0,3.832508912706236,4.880813592280791,340000.0,380000.0,1.0483046795745552
MID,3,50.0,5.0,3.7075701760979363,4.8750612633917,255000.0,375000.0,1.1674910872937638
