deposit,unit_group,state_label,drug,dose_value,dose_unit,early_rate_median_log10_per_day,early_rate_q05_log10_per_day,early_rate_q95_log10_per_day,terminal_rate_median_log10_per_day,terminal_rate_q05_log10_per_day,terminal_rate_q95_log10_per_day,early_rate_median_log10_per_hour,terminal_rate_median_log10_per_hour,ratio_early_over_terminal,P_terminal_rate_le_0,rate_units,corpus_windels_early_rate_log10_per_hour_min,corpus_windels_early_rate_log10_per_hour_max,corpus_windels_terminal_rate_log10_per_hour_p10,corpus_windels_terminal_rate_log10_per_hour_p90,corpus_windels_n_terminal_series,corpus_windels_terminal_vs_nutrient_spearman,corpus_windels_terminal_vs_nutrient_p,corpus_windels_terminal_vs_log10dose_spearman,corpus_windels_terminal_vs_log10dose_p,corpus_era4tb_treated_100uL_series_with_ge3_uncensored,corpus_era4tb_n_terminal_rate_non_positive,corpus_era4tb_P_terminal_rate_le_0_empirical,corpus_era4tb_non_positive_by_arm,corpus_era4tb_n_rebound_gt_1_log10_from_nadir,corpus_era4tb_n_rebound_gt_2_log10_from_nadir
era4tb,era4tb_A_INH10x_r1,standard,isoniazid,10.0,xMIC,0.8691883529747688,0.747297798889775,1.1560063565481802,0.0004948487845410614,-0.10172448502764582,0.1904461242992063,0.0362161813739487,2.061869935587756e-05,1756.4726440237332,0.4666666666666667,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_A_INH10x_r2,standard,isoniazid,10.0,xMIC,0.9000256280993201,0.8080275457871955,1.0816450791856753,-0.08955323156261528,-0.18102895173399564,0.18505534454957132,0.03750106783747167,-0.0037313846484423037,-10.050174766390485,0.7333333333333333,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_A_INH10x_r3,standard,isoniazid,10.0,xMIC,0.9373186045541465,0.8211177640158531,1.0989118498760369,-0.02074713852027532,-0.13331343065547438,0.23571701713854454,0.03905494185642277,-0.0008644641050114717,-45.17821113683431,0.6,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_A_INH1x_r1,standard,isoniazid,1.0,xMIC,0.5915107819849864,0.4361273140639428,0.7113188149310822,-0.2525149311545219,-0.33030268060365653,-0.19440510652519963,0.024646282582707766,-0.010521455464771746,-2.342478439910637,1.0,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_A_INH1x_r2,standard,isoniazid,1.0,xMIC,0.575509116429913,0.43279522888080896,0.7454290934813936,-0.28461041702297035,-0.33925240535215334,-0.20246607111469692,0.02397954651791304,-0.011858767375957098,-2.0220943507611135,1.0,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_A_INH1x_r3,standard,isoniazid,1.0,xMIC,0.5586215031734844,0.44618596344093014,0.7260444021972524,-0.24077466943278217,-0.329457149774465,-0.1721798422585216,0.023275895965561847,-0.01003227789303259,-2.320100800011425,1.0,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_A_MXF10x_r2,standard,moxifloxacin,10.0,xMIC,0.37114540906924515,0.2587446425123578,0.49758172991794364,-0.2504523338036808,-0.30586960051669654,-0.17746236064633059,0.015464392044551882,-0.010435513908486701,-1.4819003817316017,1.0,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_A_MXF10x_r3,standard,moxifloxacin,10.0,xMIC,0.36764585273352096,0.2751781062563816,0.5023733930392285,0.01160216386990412,-0.04306445543261368,0.11453956421756581,0.01531857719723004,0.00048342349457933834,31.687696955150763,0.3333333333333333,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_A_MXF1x_r1,standard,moxifloxacin,1.0,xMIC,-0.16595685582271427,-0.3234562400286707,-0.015379540830814185,-0.10795460452538298,-0.16983490644005345,-0.051190077286749694,-0.006914868992613094,-0.004498108521890957,1.5372837180251393,1.0,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_A_MXF1x_r2,standard,moxifloxacin,1.0,xMIC,-0.1549342544701744,-0.2927278793225915,-0.030156400682052987,-0.10779434082596753,-0.13869036991204456,-0.03514398572738965,-0.006455593936257266,-0.0044914308677486475,1.4373134367073461,1.0,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
