nutrient_conc,n_concentrations,alpha_geomean,alpha_min,alpha_max,kill_rate_mean,r2_min,boccarella_arm,alpha_simulated,simulated_over_fitted
0.0,4,0.7425213357433645,0.4093103281115243,0.9711992897418186,0.23443633044679962,0.5579083049375966,,,
0.25,4,0.001735733216400348,0.0006716991204761409,0.005894556954173965,0.37650890133802317,0.7625050113343476,high persistence,0.8,460.9003229534783
0.5,4,0.00020953696273526924,0.00015324662495402137,0.00039262285370437403,0.3661192375959549,0.7062353166601074,,,
0.8,4,3.6460197480796757e-06,6.404510303008237e-08,0.00010564485821665275,0.42370806719553905,0.2996470149941631,low persistence,5e-05,13.713584526341233
0.9,3,1.1989719667696806e-05,9.25354950468206e-07,0.00022945760675978887,0.6826628674785491,0.584750082379475,,,
0.95,2,3.7371171236476514e-05,2.373331475503013e-05,5.884573874325954e-05,0.8086406949966378,0.5018226361122168,,,
