stratum,n_series,n_crossed,note,n_series_before_exclusions,n_excluded_already_below_at_day_zero,n_crossed_never_observed_above_first,last_visit_day,weibull_interval_scale_days,weibull_interval_shape,weibull_naive_scale_days,weibull_naive_shape,median_interval_width_days,max_interval_width_days,weibull_interval_t10_days,weibull_naive_t10_days,shift_t10_days,t10_beyond_last_visit,weibull_interval_t25_days,weibull_naive_t25_days,shift_t25_days,t25_beyond_last_visit,weibull_interval_t50_days,weibull_naive_t50_days,shift_t50_days,t50_beyond_last_visit,weibull_interval_not_yet_crossed_day1,weibull_naive_not_yet_crossed_day1,turnbull_not_yet_crossed_day1,turnbull_point_identified_day1,km_naive_not_yet_crossed_day1,turnbull_minus_km_day1,weibull_interval_not_yet_crossed_day2,weibull_naive_not_yet_crossed_day2,turnbull_not_yet_crossed_day2,turnbull_point_identified_day2,km_naive_not_yet_crossed_day2,turnbull_minus_km_day2,weibull_interval_not_yet_crossed_day3,weibull_naive_not_yet_crossed_day3,turnbull_not_yet_crossed_day3,turnbull_point_identified_day3,km_naive_not_yet_crossed_day3,turnbull_minus_km_day3,weibull_interval_not_yet_crossed_day7,weibull_naive_not_yet_crossed_day7,turnbull_not_yet_crossed_day7,turnbull_point_identified_day7,km_naive_not_yet_crossed_day7,turnbull_minus_km_day7,weibull_interval_not_yet_crossed_day10,weibull_naive_not_yet_crossed_day10,turnbull_not_yet_crossed_day10,turnbull_point_identified_day10,km_naive_not_yet_crossed_day10,turnbull_minus_km_day10,weibull_interval_not_yet_crossed_day14,weibull_naive_not_yet_crossed_day14,turnbull_not_yet_crossed_day14,turnbull_point_identified_day14,km_naive_not_yet_crossed_day14,turnbull_minus_km_day14,weibull_interval_not_yet_crossed_day21,weibull_naive_not_yet_crossed_day21,turnbull_not_yet_crossed_day21,turnbull_point_identified_day21,km_naive_not_yet_crossed_day21,turnbull_minus_km_day21
"all arms, 100 uL quadruplicate",90,32,,90,0,0,28.0,76.22661500252826,0.6024220056138712,59.01754240044898,0.7513588196475689,3.0,4.0,1.8188012033192338,2.9528514405021453,-1.1340502371829115,False,9.636522049940053,11.241810191626811,-1.6052881416867582,False,41.48416224759367,36.23533004347629,5.2488322041173845,True,0.9291534083275175,0.9543694758935796,0.9777777777777777,True,0.9777777777777782,-4.440892098500626e-16,0.8944340163778387,0.9243900857590842,0.9111111111111111,True,0.9111111111111113,-2.220446049250313e-16,0.8672470037154355,0.8988653459997439,0.8444444444444444,True,0.8444444444444444,0.0,0.7887608905489027,0.8174828930784005,0.711111111111111,True,0.7111111111111109,1.1102230246251565e-16,0.7451492138678398,0.7683874960899881,0.6666666666666666,True,0.6666666666666665,1.1102230246251565e-16,0.6974867077668633,0.7123092097715719,0.6444444444444444,True,0.6444444444444443,1.1102230246251565e-16,0.6313145935626345,0.6312428480617164,0.6444444444444444,True,0.6444444444444443,1.1102230246251565e-16
"MXF 1X MIC, 100 uL quadruplicate",18,2,fewer than three crossings; not fitted,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MXF 10X MIC, 100 uL quadruplicate",18,9,,18,0,0,28.0,26.62108225199623,1.1605249041602759,25.097839329683424,1.52080873796658,4.0,4.0,3.8290207092674233,5.714828250778424,-1.8858075415110003,False,9.098759802371882,11.062345431257786,-1.9635856288859035,False,19.411913228590926,19.72295262405643,-0.3110393954655031,False,0.978062742464516,0.9925901942432066,1.0,True,1.0,0.0,0.9516250747769904,0.9788843807959894,1.0,True,1.0,0.0,0.9236905313613558,0.961231999251861,1.0,True,1.0,0.0,0.8088021245081989,0.8663776341806291,0.7777777777777778,True,0.7777777777777778,0.0,0.7254179189376215,0.7813482512782869,0.6111111111111112,True,0.6111111111111113,-1.1102230246251565e-16,0.62228853194599,0.6625974237529358,0.5000000000000001,True,0.5000000000000002,-1.1102230246251565e-16,0.4679570116670515,0.4664793580152279,0.5000000000000001,True,0.5000000000000002,-1.1102230246251565e-16
"INH 1X MIC, 100 uL quadruplicate",18,9,,18,0,0,28.0,29.59503633260643,0.6756804265340284,28.18657905513722,0.7986977573876721,1.0,4.0,1.058747313090554,1.6842163401802395,-0.6254690270896854,False,4.681827952457158,5.923530017271181,-1.2417020648140236,False,17.204506362963397,17.813521687941872,-0.6090153249784755,False,0.9035951056750551,0.932879596477906,1.0,True,1.0,0.0,0.8505010668846651,0.8861570749863291,0.9444444444444444,True,0.9444444444444446,-2.220446049250313e-16,0.8081846373381444,0.8461300883889923,0.7222222222222222,True,0.7222222222222223,-1.1102230246251565e-16,0.6855580354824844,0.7198411710856231,0.5,True,0.5000000000000002,-2.220446049250313e-16,0.6185334448746828,0.64592545404638,0.5,True,0.5000000000000002,-2.220446049250313e-16,0.5471485466014464,0.5644934305679464,0.5,True,0.5000000000000002,-2.220446049250313e-16,0.4524434023830849,0.45361287447478316,0.5,True,0.5000000000000002,-2.220446049250313e-16
"INH 10X MIC, 100 uL quadruplicate",18,9,,18,0,0,28.0,32.01707225041349,0.6389435606703063,30.313661242264978,0.7519155346768547,1.0,4.0,0.945781774210214,1.5200642049274142,-0.5742824307172002,False,4.555488826523125,5.781316063226161,-1.2258272367030356,False,18.040982180067683,18.618571019199106,-0.5775888391314226,False,0.8965683398322223,0.9259813428091636,1.0,True,1.0,0.0,0.8436521460019537,0.8785313302469601,0.8333333333333333,True,0.8333333333333335,-2.220446049250313e-16,0.8022841151256397,0.8388980448666356,0.7222222222222222,True,0.7222222222222223,-1.1102230246251565e-16,0.6848580193332267,0.7173571226535427,0.5555555555555556,True,0.5555555555555558,-2.220446049250313e-16,0.6216156018798525,0.6476798356270462,0.5,True,0.5000000000000002,-2.220446049250313e-16,0.554624520417344,0.5715503547755004,0.5,True,0.5000000000000002,-2.220446049250313e-16,0.4659008931707225,0.46822552464476275,0.5,True,0.5000000000000002,-2.220446049250313e-16
"untreated, 100 uL quadruplicate",18,3,,18,0,0,28.0,12504304.442378357,0.1277442494505182,1818.5543789320539,0.37709197070341155,1.0,1.0,0.2795401629964238,4.655777423352155,-4.376237260355731,False,726.6957489533892,66.80850825556136,659.8872406978278,True,709608.4855376949,688.043088155089,708920.4424495398,True,0.8833874651694608,0.9427155569940308,0.888888888888889,True,0.888888888888889,0.0,0.8733044965293545,0.9262487465341693,0.8333333333333335,True,0.8333333333333335,0.0,0.8670377833164498,0.9145992663701801,0.8333333333333335,True,0.8333333333333335,0.0,0.8530117397071294,0.8843743167486813,0.8333333333333335,True,0.8333333333333335,0.0,0.8467131984651315,0.8688677035072323,0.8333333333333335,True,0.8333333333333335,0.0,0.8405480485491905,0.8525015742228126,0.8333333333333335,True,0.8333333333333335,0.0,0.8328220900690146,0.8303202697286777,0.8333333333333335,True,0.8333333333333335,0.0
"treated arms, all four platings",287,134,,288,1,20,28.0,49.0547910816271,0.4805418846017796,37.56463537423118,0.664742874627011,1.0,7.0,0.45382633820635687,1.2721941550219633,-0.8183678168156064,False,3.6701819224236782,5.765002291308405,-2.0948203688847267,False,22.879248364533705,21.643444716620106,1.235803647913599,False,0.8572610654461753,0.9141328086599998,0.9024390243902439,True,0.9024390243902433,6.661338147750939e-16,0.8066309330401398,0.8673384400615096,0.7909407665505228,True,0.7909407665505226,2.220446049250313e-16,0.7701915620918718,0.8299793747776898,0.7247386759581883,True,0.7247386759581879,4.440892098500626e-16,0.6754749162960834,0.7208654632239521,0.6097560975609759,True,0.6097560975609757,2.220446049250313e-16,0.627700675989684,0.6604213320801056,0.5582704681268348,True,0.5609756097560975,-0.0027051416292627195,0.5784412652113805,0.5951936985499242,0.5434614793277251,True,0.5434451219512196,1.635737650551583e-05,0.5141814959399441,0.5069313035454543,0.5318963500098824,True,0.531882459782045,1.3890227837487501e-05
