model,r2_pooled,r2_per_flask,n_parameters
single exponential,-0.05624940142736867,0.32042277455329626,1.0
biexponential,0.005838676015920252,0.5057727163721559,3.0
Weibull (Mafart),-0.021392632060512007,0.46416710943752326,2.0
decline + logistic regrowth,0.09743910563936198,0.9172238857358765,4.0
symbolic search: t*(t*0.009107132 - 0.16829206),0.12000424396492881,,
