rho,acme,below_boot_ci_low,nonpositive
-0.9,-1.277396976733526,True,True
-0.85,-0.9621035536900632,True,True
-0.8,-0.7662666311632214,True,True
-0.75,-0.6268919531735155,True,True
-0.7,-0.5194835632258612,True,True
-0.65,-0.43222839756753123,True,True
-0.6,-0.3586155560158679,True,True
-0.55,-0.294709453230516,True,True
-0.5,-0.23796267306372482,True,True
-0.45,-0.18663566908749052,True,True
-0.4,-0.13948734249872038,True,True
-0.35,-0.09559840135214612,True,True
-0.3,-0.05426474321231203,True,True
-0.25,-0.014929982267470684,True,True
-0.2,0.022859093858160946,True,False
-0.15,0.05948313546631949,True,False
-0.1,0.0952721555814436,False,False
-0.05,0.13052197519487105,False,False
0.0,0.16550725488787185,False,False
0.05,0.20049253458087263,False,False
0.1,0.2357423541943001,False,False
0.15,0.2715313743094242,False,False
0.2,0.3081554159175828,False,False
0.25,0.34594449204321437,False,False
0.3,0.3852792529880557,False,False
0.35,0.42661291112788985,False,False
0.4,0.47050185227446406,False,False
0.45,0.5176501788632343,False,False
0.5,0.5689771828394685,False,False
0.55,0.6257239630062598,False,False
0.6,0.6896300657916117,False,False
0.65,0.7632429073432749,False,False
0.7,0.850498073001605,False,False
0.75,0.9579064629492593,False,False
0.8,1.0972811409389651,False,False
0.85,1.2931180634658068,False,False
0.9,1.6084114865092698,False,False
