t_min,t_h,still_dormant_exponential,still_dormant_power_law,ratio_power_over_exponential
60,1.0,0.823292256970995,1.0,1.214635497337406
120,2.0,0.6778101403883948,0.8333333333333334,1.2294494928267399
300,5.0,0.3782423512407149,0.3333333333333333,0.8812691974865572
600,10.0,0.14306727627210433,0.16666666666666666,1.164953097657901
1200,20.0,0.02046824553991863,0.08333333333333333,4.071347159228217
2400,40.0,0.00041894907548239887,0.041666666666666664,99.45520614573402
4800,80.0,1.7551832784755678e-07,0.020833333333333332,118696.0563538854
9600,160.0,3.080668341040242e-14,0.010416666666666666,338130091055.1538
20000,333.3333333333333,7.101394451303682e-29,0.005,7.040870682915092e+25
