min_rate_gap_log10_per_day,pairs,inversions,inversion_rate,ci_low,ci_high
0.0,191,66,0.34554973821989526,0.28082976366494017,0.4149107384232366
0.02,172,58,0.3372093023255814,0.26973344352486617,0.41011195893671337
0.05,143,42,0.2937062937062937,0.22374133093437681,0.3719260509539871
0.1,100,23,0.23,0.1559701765210572,0.31939715560366416
