arm,n,mean_log10,sd_log10,log10_reduction_vs_control
Apramycin,4,4.619151686350858,0.25715875119945275,1.30339733365627
Apramycin+HREZ,4,2.768229297653221,0.48395001612575134,3.1543197223539075
HREZ,5,3.6627202667811405,0.44078145912364025,2.259828753225988
Post Drug Control,2,5.9225490200071285,0.3161884762241101,0.0
Pre Drug Control,5,5.54862555878842,0.3209401337034385,0.3739234612187081
