model,term,statistic,p_value,coef,hazard_ratio,concordance,absorbed_by_inoculum,remaining_after_adjustment
log-rank across institutes,institute,53.785023556950826,2.3202388316142943e-10,,,,,
institute only,institute_B,,0.09311156808338726,0.8232550037708269,2.277902364155428,0.8962264150943396,,
institute only,institute_C,,0.014200575377622192,1.1036338075591088,3.0151024435409512,0.8962264150943396,,
institute only,institute_D,,0.014838206941952863,-1.6006378840233582,0.20176777249816813,0.8962264150943396,,
institute only,institute_E,,0.016063574819403792,-1.584701498602558,0.20500897945109414,0.8962264150943396,,
institute only,institute_F,,0.014838206941952817,-1.6006378840233577,0.2017677724981682,0.8962264150943396,,
institute + starting density,institute_B,,0.2637228981069262,0.5234220578838675,1.687793505597996,0.9304245283018868,,
institute + starting density,institute_C,,0.00041474468651738215,1.661533473388032,5.267382044569899,0.9304245283018868,,
institute + starting density,institute_D,,0.13807742192961664,-1.0803567596818042,0.33947439326212786,0.9304245283018868,,
institute + starting density,institute_E,,0.1724191556716273,-1.0097732642583963,0.3643015703947546,0.9304245283018868,,
institute + starting density,institute_F,,0.5756846609975435,-0.4789526028987853,0.6194318432708091,0.9304245283018868,,
institute + starting density,start_log10,,0.0001786007025698558,-0.7411607096422668,0.47656044606963227,0.9304245283018868,,
adjustment summary,,,,,,,"D,E,F",C
proportional hazards test,global,,0.6310676288915192,,,,,
