predictor,adjusted_for_start_density,culture_age_days,endpoint_depth,n,beta,p_value,beta_after_adjusting_for_start_density,p_after_adjusting_for_start_density,survives_bh
growth,True,15,D5,202,0.02655464308946514,0.0024620797245331616,,,True
resistance,False,15,D5,202,0.25888427660220725,0.0034652840068976065,0.08870977372439988,0.3739741086569761,True
growth,True,60,D2,196,-0.019492831756624987,0.059039665805103114,,,False
growth,True,15,D2,202,0.01159473928921269,0.08119635742448339,,,False
resistance,False,15,D2,202,0.05153386655867172,0.4446260231829673,-0.13181752522183218,0.07824477709049682,False
resistance,False,60,D2,196,-0.05506870063832086,0.5486497034687539,-0.10720559227471887,0.2432301667264265,False
resistance,False,60,D5,196,0.038948393378773156,0.6797443931773826,-0.003967814543773688,0.9666933912275462,False
growth,True,60,D5,196,-0.00412792506996667,0.6998776714646602,,,False
