dataset,median_log10_N0,fold_below_nominal_0.5_McFarland
"ERA4TB, between laboratories at 100 uL",4.62899008407627,3524.529703325869
"ERA4TB, every laboratory and plating volume",4.286707852572519,7751.458147439917
"Vijay, 15-day culture",5.785329835010767,245.9016393442623
"Vijay, 30-day culture",7.361727836017593,6.521739130434781
"Vijay, 60-day culture",7.361727836017593,6.521739130434781
"Kaur, planktonic",7.033423755486949,13.888888888888902
"Kaur, intracellular",5.944482672150168,170.45454545454564
"Dubey, hollow fibre",6.084484323277383,123.48293281968179
