covariate,kind,n,beta_IR,se,p,attenuation_of_IR_beta,note
INH_mutation,categorical(k=4),203,-0.6622017196281891,0.33003993035371715,0.04617103248379075,0.22080195392135366,adjusted for 4-level INH_mutation; deposit has no site/batch field
MIC_INH,numeric,186,-0.9631764252387267,0.18119005922860196,3.0671740655327255e-07,-0.13334829301926687,adjusted for numeric MIC_INH
Time_to_0.4,numeric,202,-0.8074679409780876,0.0968352357395023,1.2308171926530851e-14,0.049870419795131085,adjusted for numeric Time_to_0.4
Time_point,categorical(k=8),203,-0.8175014664888869,0.12291752004157748,2.8933449951015337e-10,0.03806419332129358,adjusted for 8-level Time_point; deposit has no site/batch field
MIC_RIF,numeric,186,-0.8531113890495997,0.1078992736372451,2.4149753562640443e-13,-0.0038372111267328357,adjusted for numeric MIC_RIF
RIF_MGIT_DST,categorical(k=2),203,-0.8510904328617954,0.10358143566909885,2.583533632337332e-14,-0.00145919689621736,adjusted for 2-level RIF_MGIT_DST; deposit has no site/batch field
INH_MGIT_DST,categorical(k=2),203,-0.8510904328617954,0.10358143566909885,2.583533632337332e-14,-0.00145919689621736,adjusted for 2-level INH_MGIT_DST; deposit has no site/batch field
(none),unadjusted,203,-0.8498503338923304,0.10296575813094919,2.009256701401058e-14,0.0,reference: IR coefficient on log10 N0
