institute,arm,replicate,start_measured_log10,fitted_intercept_log10,rate_log10_per_day,distance_to_limit_log10,predicted_clearance_day,observed_clearance_day,cleared,horizon_day
A,INH 10X MIC,1,2.11394335230684,2.453695328884565,0.2133027390422771,1.11394335230684,5.222358406218374,7.0,True,21.0
A,INH 10X MIC,2,2.38021124171161,2.336713192811053,0.2336622231028519,1.38021124171161,5.906865146549931,10.0,True,21.0
A,INH 10X MIC,3,2.46239799789896,2.909071010597245,0.5218820380493452,1.46239799789896,2.8021619662654245,3.0,True,21.0
A,INH 1X MIC,1,2.54406804435028,1.8962836127567444,0.005910564089353864,1.5440680443502801,261.2386941428252,7.0,True,21.0
A,INH 1X MIC,2,2.5910646070265,2.187126751469391,0.03445924600020629,1.5910646070265,46.172356963845786,7.0,True,21.0
A,MXF 10X MIC,1,2.60205999132796,2.6992481975398084,0.13081968802913024,1.6020599913279598,12.24632175373497,7.0,True,21.0
A,MXF 10X MIC,2,2.41497334797082,2.6130999284245684,0.15406241536724818,1.41497334797082,9.184416228954088,14.0,True,21.0
A,MXF 10X MIC,3,2.46239799789896,2.361322706198981,0.09354500897828,1.46239799789896,15.633094847834275,14.0,True,14.0
B,INH 10X MIC,1,2.60205999132796,2.0706873135542088,0.14796447379271832,1.6020599913279598,10.827328684129048,3.0,True,14.0
B,INH 10X MIC,2,2.30102999566398,2.129539708775688,0.09399217022400223,1.30102999566398,13.841897602357344,7.0,True,14.0
B,INH 1X MIC,1,2.69897000433602,1.6117327161739348,0.00024427047528244105,1.69897000433602,6955.281854557179,3.0,True,14.0
B,MXF 10X MIC,1,2.90308998699194,2.5927550990793957,0.18107551499326296,1.9030899869919402,10.50992447577877,10.0,True,14.0
B,MXF 10X MIC,2,2.95424250943932,2.8141192879157937,0.12034483850085667,1.9542425094393199,16.238689866415903,10.0,True,14.0
B,MXF 10X MIC,3,2.77815125038364,2.582900020142852,0.1715496626793171,1.7781512503836399,10.36522732025181,10.0,True,14.0
C,INH 1X MIC,1,4.397592294841215,2.7969814486143774,0.12245523205002726,3.397592294841215,27.74558700320113,7.0,True,28.0
C,INH 1X MIC,2,4.186915572536915,2.46597737703809,0.17682496811878867,3.1869155725369147,18.022995318149793,3.0,True,28.0
C,INH 1X MIC,3,4.120274624141301,2.7040473758693917,0.28642428203912706,3.1202746241413006,10.893890007953496,3.0,True,28.0
C,MXF 10X MIC,1,3.967249225621785,4.144819553134503,0.4609742008307519,2.967249225621785,6.4369095282866375,7.0,True,28.0
C,MXF 10X MIC,2,3.47712125471966,4.222915219940282,0.464081780888633,2.47712125471966,5.337682617008621,7.0,True,28.0
C,MXF 10X MIC,3,3.69897000433602,4.164566485243876,0.46930628520952733,2.69897000433602,5.750977750342792,7.0,True,28.0
C,MXF 1X MIC,3,4.513470813979515,4.165016793198385,0.02307472880245754,3.5134708139795148,152.26488007977446,7.0,True,28.0
D,INH 10X MIC,1,4.55018527255878,3.8093688756662867,0.049233102991115815,3.55018527255878,72.10972002311973,,False,21.0
D,INH 10X MIC,2,4.76342799356294,3.712463716630184,0.025815849713712275,3.7634279935629404,145.7797452068358,,False,21.0
D,INH 10X MIC,3,4.46684485447895,3.7260639725142917,0.03397321044821201,3.46684485447895,102.04643037088677,,False,21.0
D,INH 1X MIC,1,4.653105254083885,3.868395444100936,0.04771218480422715,3.6531052540838846,76.5654574208522,,False,21.0
D,INH 1X MIC,2,4.8170874358813,4.0624587006277695,0.06760744711678737,3.8170874358813,56.45957063409797,,False,14.0
D,INH 1X MIC,3,4.704119982655925,4.1088559696219065,0.04551533056220471,3.704119982655925,81.3818099726551,,False,21.0
D,MXF 10X MIC,1,4.65321251377534,4.335235591971047,0.1074370868331185,3.6532125137753404,34.003272254113305,,False,21.0
D,MXF 10X MIC,2,4.42684910588809,4.3011534257692325,0.12791071688637454,3.42684910588809,26.79094597626424,,False,21.0
D,MXF 10X MIC,3,4.58187876199098,4.042698495785093,0.07857963343988074,3.58187876199098,45.582787869981395,,False,21.0
E,MXF 10X MIC,1,4.56820172406699,4.890776369481724,0.10066189494529411,3.5682017240669897,35.44739273988604,,False,21.0
E,MXF 10X MIC,2,4.77815125038364,4.748393659104512,0.0893726775446137,3.7781512503836403,42.274119498071826,,False,21.0
E,MXF 10X MIC,3,4.7160033436348,4.659434828945054,0.07980924210455406,3.7160033436348003,46.56106543107691,,False,21.0
F,INH 10X MIC,1,6.86923171973098,5.653594346207365,0.22251360861301817,5.86923171973098,26.376956251419134,,False,21.0
F,INH 10X MIC,2,6.83884909073726,5.62801266304977,0.254181847376052,5.83884909073726,22.971149006163742,,False,21.0
F,INH 10X MIC,3,6.46239799789896,5.520617968792115,0.2397151802520761,5.46239799789896,22.78703414675238,,False,21.0
F,INH 1X MIC,1,6.69897000433602,5.5772610861625225,0.2732740860258385,5.69897000433602,20.854410629323898,,False,21.0
F,INH 1X MIC,2,7.01703333929878,5.600330851146516,0.27160792322010263,6.01703333929878,22.15337928276401,,False,21.0
F,INH 1X MIC,3,6.90848501887865,5.559922904117098,0.2639308961920667,5.90848501887865,22.386484887237117,,False,21.0
F,MXF 10X MIC,1,6.23044892137827,5.502919001150714,0.21629601867905457,5.23044892137827,24.18190105079715,,False,21.0
F,MXF 10X MIC,2,6.14612803567824,5.57991569984544,0.24294425389238838,5.14612803567824,21.18234102362308,,False,21.0
F,MXF 10X MIC,3,6.11394335230684,5.430493496361407,0.20984252122857638,5.11394335230684,24.370386527792167,,False,21.0
