interval,n_concentrations,slope_per_doubling,ci_low,ci_high,boot_slope_per_doubling,boot_excludes_zero,boot_draws,ols_ci_low_on_means,ols_ci_high_on_means,ols_p_value_on_means,p_value,rate_at_lowest,rate_at_highest,fold_across_range,concentration_matters
days 0-3,4,0.05902987414780902,0.032728864871435066,0.08342188439049156,0.05902987414780899,True,20000,0.030218070029821017,0.08784167826579702,0.01262521796703409,0.01262521796703409,0.12942420255661494,0.4091278132712004,3.1611383743487447,True
days 3-7,4,0.032957406407253385,0.007873322252256475,0.05860635340469224,0.03295740640725341,True,20000,-0.05172276815057753,0.11763758096508431,0.2359966944766585,0.2359966944766585,0.31096764854109615,0.5220232738384903,1.6787060528243407,True
days 7-14,4,-0.02514503287249545,-0.03526245011123313,-0.015253450077311945,-0.02514503287249541,True,20000,-0.060210603252726584,0.009920537507735687,0.09094461053848613,0.09094461053848613,0.4080620504898839,0.26957285693638,0.6606173169319572,True
