parameters,kill_factor_per_pulse,regrowth_factor,net_per_cycle,population_clears
model as calibrated,9.357622968840175e-14,148504977.21698624,1.3896535857927574e-05,True
"rifampicin, intracellular",0.8958341352965282,1.8719861883312423,1.6769891283107623,False
"ethambutol, intracellular",0.9048374180359595,1.8719861883312423,1.6938431492486188,False
"pyrazinamide, intracellular",0.951229424500714,1.8719861883312423,1.780688344599613,False
"isoniazid, intracellular",0.9607894391523232,1.8719861883312423,1.7985845599876695,False
"bedaquiline, in vivo sputum",0.9003245225862656,1.0187944331665286,0.9172456116541999,True
"rifampicin, extracellular (provisional)",0.6032038980649526,4.310698689887368,2.6002302531235446,False
"ethambutol, extracellular (provisional)",0.7221661802661196,4.310698689887368,3.1130408071541265,False
