scenario,arm,alpha,min_value,replicate,simulation_id,final_mic,extinct
published,high,0.8,-0.5,26,104,8.356541197948248,False
published,low,5e-05,-0.5,28,113,16.969876687103266,False
published,high,0.8,-0.5,27,108,11.862733076661193,False
published,low,5e-05,-0.5,29,117,15.575057902495498,False
published,low,5e-05,-0.5,30,121,12.298704217637258,False
calibrated,low,5e-05,-3.5824,31,127,2.0,True
calibrated,high,0.8,-3.5824,27,110,8.591426367016357,False
calibrated,low,5e-05,-3.5824,27,111,18.90311163731838,False
calibrated,low,5e-05,-3.5824,29,119,19.41060056796733,False
calibrated,low,5e-05,-3.5824,32,131,2.0,True
calibrated,high,0.8,-3.5824,28,114,8.5682973978166,False
published,high,0.8,-0.5,28,112,11.12677656337276,False
published,high,0.8,-0.5,29,116,11.316125327783535,False
calibrated,high,0.8,-3.5824,29,118,8.416535871991522,False
published,low,5e-05,-0.5,32,129,11.96352512193056,False
calibrated,high,0.8,-3.5824,30,122,7.586310939388778,False
published,high,0.8,-0.5,30,120,12.629776931072925,False
published,low,5e-05,-0.5,31,125,23.545580273933425,False
calibrated,low,5e-05,-3.5824,34,139,2.0,True
calibrated,low,5e-05,-3.5824,30,123,19.85780260728164,False
published,low,5e-05,-0.5,33,133,19.588605448095137,False
calibrated,low,5e-05,-3.5824,35,143,2.0,True
calibrated,high,0.8,-3.5824,31,126,7.111660316568028,False
calibrated,high,0.8,-3.5824,32,130,11.418630648181125,False
published,high,0.8,-0.5,31,124,15.435318555526763,False
calibrated,low,5e-05,-3.5824,36,147,2.0,True
published,high,0.8,-0.5,32,128,8.824001078483914,False
calibrated,low,5e-05,-3.5824,33,135,32.449078761435835,False
calibrated,high,0.8,-3.5824,33,134,12.711808479270157,False
calibrated,low,5e-05,-3.5824,37,151,2.0,True
published,low,5e-05,-0.5,34,137,26.751635551049212,False
published,high,0.8,-0.5,33,132,10.642664332410128,False
published,low,5e-05,-0.5,35,141,22.559161847381446,False
published,high,0.8,-0.5,34,136,12.000253700822682,False
calibrated,high,0.8,-3.5824,34,138,7.108729290397675,False
calibrated,low,5e-05,-3.5824,38,155,14.2245686361108,False
calibrated,high,0.8,-3.5824,35,142,8.221601139197636,False
published,low,5e-05,-0.5,36,145,23.427560387746524,False
published,high,0.8,-0.5,35,140,8.557257717337997,False
published,high,0.8,-0.5,36,144,9.628317280571899,False
calibrated,high,0.8,-3.5824,36,146,14.379584072185814,False
published,low,5e-05,-0.5,38,153,17.762449921130603,False
published,low,5e-05,-0.5,37,149,14.05003511402294,False
calibrated,high,0.8,-3.5824,37,150,9.812909573981074,False
published,high,0.8,-0.5,37,148,8.444242206795884,False
published,low,5e-05,-0.5,39,157,30.60923744795138,False
calibrated,high,0.8,-3.5824,38,154,8.985026153091567,False
published,high,0.8,-0.5,38,152,13.142545902287686,False
published,high,0.8,-0.5,39,156,11.148324877944267,False
calibrated,high,0.8,-3.5824,39,158,11.656858920840909,False
calibrated,low,5e-05,-3.5824,39,159,16.553944762009127,False
