conc,log10_day0,log10_day3,log10_day7,log10_day14,d0-3,d3-7,d7-14
1,7.015476535167562,7.336666666666667,7.969423499831908,8.165871708709316,-0.1070633771663682,-0.15818920829131033,-0.028064029839629714
4,7.015476535167562,6.6272039274977175,5.383333333333333,2.5268989799041455,0.12942420255661494,0.31096764854109615,0.4080620504898839
8,7.015476535167562,6.501180036212652,4.536666666666666,2.2367057883706054,0.17143216631830338,0.4911283423864965,0.3285658397565801
32,7.015476535167562,6.011141251828984,4.069032565686445,2.047130895052742,0.3347784277795262,0.4855271715356346,0.28884309580481476
128,7.015476535167562,5.788093095353961,3.6999999999999997,1.8129900014453397,0.4091278132712004,0.5220232738384903,0.26957285693638
