rho,acme
-0.5,-0.21235861162689906
-0.4,-0.12441137748468208
-0.3,-0.046273252433758225
-0.2,0.026271973638640405
-0.1,0.09610595055562801
0.0,0.16550725488787185
0.1,0.23657614916848452
0.2,0.31156829569806216
0.3,0.39327074376660953
0.4,0.4855778172885024
0.5,0.5945812442762942
