c1,n_straddling,n_sample_times,share,n_straddling_pooled_n0,share_pooled_n0
0.01,1,54,0.018518518518518517,1,0.018518518518518517
0.001,9,54,0.16666666666666666,6,0.1111111111111111
0.0001,8,54,0.14814814814814814,7,0.12962962962962962
