laboratory,n_flasks,untreated_day0_log10,treated_day0_log10,realised_cfu_per_ml,fold_from_clsi_target,fold_from_half_mcfarland
B,3,3.6672085194289132,,4647.38358224392,0.009294767164487839,3.0982557214959465e-05
C,3,4.6055242320087,4.661215807813558,40320.34430607967,0.08064068861215934,0.0002688022953738645
D,3,4.6524559361438405,4.779008454310041,44921.674447749676,0.08984334889549936,0.0002994778296516645
F,3,6.002129101955443,,1004914.475036865,2.00982895007373,0.0066994298335791
