Institute,start_log10_cfu_ml,sd,n,reading_days
A,2.9483593628596094,0.7023566083496416,13,day 1
B,3.1601809400864007,0.4862905535226168,12,"day 0, day 1"
C,4.018824837119193,1.1463794725621763,27,"day 0, day 1"
D,4.693279649560454,0.2797675298916485,25,"day 0, day 1"
E,4.953487006180223,0.3679829251355914,16,"day 0, day 1"
F,6.530608311640631,0.35602327546129364,18,"day 0, day 1"
