kappa,psi_net_per_h,survival_one_pulse,is_model_default
0.5,-1.051569933396765,0.0052064883739531415,False
1.0,-2.5591796228911674,2.7721202025712245e-06,False
1.5,-4.046831283447563,1.630863158430563e-09,False
2.0,-5.061375685248269,1.0217916404621673e-11,True
2.5,-5.591651740365789,7.209124440461749e-13,False
3.0,-5.83072774854732,2.1814012950397394e-13,False
