AB_conc_ug_ml,n_nutrient_levels,exposure_min_x_mic,exposure_max_x_mic,fold_spread,crosses_the_mic
12.5,3,1.4870236765790938,4.736614270344995,3.1852984891549285,False
25.0,3,0.5524271728019905,9.473228540689988,17.148375400580683,True
50.0,2,5.076577477226473,10.953955346705428,2.1577441486601696,False
100.0,1,9.715039261068249,9.715039261068249,1.0,False
