AB_conc,nutrient_conc,n_clones,mic_geomean_ug_ml,mic_min,mic_max,persister_median,exposure_x_mic,mic_fold_range_within_condition
12.5,0.25,20,2.639015821545788,1.0,8.0,0.0030657335,4.736614270344995,8.0
12.5,0.5,19,2.8804930750775175,1.0,16.0,0.061981333,4.339534820670801,16.0
12.5,0.8,14,8.406053109225752,1.0,32.0,0.0008250835,1.4870236765790938,32.0
25.0,0.25,5,2.6390158215457884,1.0,8.0,0.145875779,9.473228540689988,8.0
25.0,0.5,24,5.339359416680137,0.5,16.0,0.12343233549999999,4.68220961523963,32.0
25.0,0.8,2,45.25483399593902,32.0,64.0,0.0004577335,0.5524271728019905,2.0
50.0,0.25,21,4.564561239976049,1.0,16.0,0.224552,10.953955346705428,16.0
50.0,0.5,10,9.849155306759329,4.0,32.0,0.11761772699999999,5.076577477226473,8.0
100.0,0.25,11,10.29331918407545,4.0,32.0,0.006645695,9.715039261068249,8.0
