panel,exclusion,n_dropped,n_retained,median_start_log10_retained,median_start_log10_dropped,start_density_mannwhitney_p,pct_resistant_retained,pct_resistant_dropped,resistance_fisher_p
15-day,label missing or 'MDR',14,202,5.785329835010767,5.361727836017593,0.19823030773897587,41.08910891089109,0.0,0.0011097410360847357
15-day,growth proxy missing,1,202,5.785329835010767,6.785329835010767,0.1492765756012265,41.08910891089109,100.0,0.41379310344827586
60-day,label missing or 'MDR',20,196,7.361727836017593,7.785329835010767,0.02689925104054916,40.30612244897959,20.0,0.09273897533559254
60-day,growth proxy missing,1,196,7.361727836017593,7.361727836017593,0.7490345180138778,40.30612244897959,100.0,0.40609137055837563
