design,reading,prior,culture_age_days,sample_day,isolate_index,n0_mpn_ml,recorded_class,p_low,p_medium,p_high,dominant_class,p_dominant,verdict
triplicate,censor,logflat,60,5,49,230000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,flat,60,5,49,230000.0,Low,0.9996,0.0004,0.0,Low,0.9996,confirmed
triplicate,pattern,logflat,60,5,50,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
triplicate,pattern,flat,60,5,50,230000.0,Low,0.9991,0.0009,0.0,Low,0.9991,confirmed
triplicate,censor,logflat,60,5,50,230000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,flat,60,5,50,230000.0,Low,0.9996,0.0004,0.0,Low,0.9996,confirmed
triplicate,pattern,logflat,60,5,66,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,pattern,flat,60,5,66,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,logflat,60,5,66,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,flat,60,5,66,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,pattern,logflat,60,5,76,23000000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,pattern,flat,60,5,76,23000000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,logflat,60,5,76,23000000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,flat,60,5,76,23000000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,pattern,logflat,60,5,103,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
triplicate,pattern,flat,60,5,103,230000.0,Low,0.9991,0.0009,0.0,Low,0.9991,confirmed
triplicate,censor,logflat,60,5,103,230000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,flat,60,5,103,230000.0,Low,0.9996,0.0004,0.0,Low,0.9996,confirmed
triplicate,pattern,logflat,15,2,1,230000.0,,0.5223,0.4771,0.0001,Low,0.5223,refused
triplicate,pattern,flat,15,2,1,230000.0,,0.2515,0.7473,0.0009,Medium,0.7473,refused
triplicate,censor,logflat,15,2,1,230000.0,,0.9619,0.038,0.0,Low,0.9619,contradicted
triplicate,censor,flat,15,2,1,230000.0,,0.5551,0.4441,0.0004,Low,0.5551,refused
triplicate,pattern,logflat,15,2,2,230000.0,,0.5223,0.4771,0.0001,Low,0.5223,refused
triplicate,pattern,flat,15,2,2,230000.0,,0.2515,0.7473,0.0009,Medium,0.7473,refused
triplicate,censor,logflat,15,2,2,230000.0,,0.9619,0.038,0.0,Low,0.9619,contradicted
triplicate,censor,flat,15,2,2,230000.0,,0.5551,0.4441,0.0004,Low,0.5551,refused
triplicate,pattern,logflat,15,2,6,23000.0,,0.0047,0.5176,0.4772,Medium,0.5176,refused
triplicate,pattern,flat,15,2,6,23000.0,,0.0003,0.2512,0.7481,High,0.7481,refused
triplicate,censor,logflat,15,2,6,23000.0,,0.756,0.2058,0.038,Low,0.756,refused
triplicate,censor,flat,15,2,6,23000.0,,0.0642,0.4908,0.4446,Medium,0.4908,refused
triplicate,pattern,logflat,15,2,12,230000.0,,0.5223,0.4771,0.0001,Low,0.5223,refused
triplicate,pattern,flat,15,2,12,230000.0,,0.2515,0.7473,0.0009,Medium,0.7473,refused
triplicate,censor,logflat,15,2,12,230000.0,,0.9619,0.038,0.0,Low,0.9619,contradicted
triplicate,censor,flat,15,2,12,230000.0,,0.5551,0.4441,0.0004,Low,0.5551,refused
triplicate,pattern,logflat,15,2,17,230000.0,,0.5223,0.4771,0.0001,Low,0.5223,refused
triplicate,pattern,flat,15,2,17,230000.0,,0.2515,0.7473,0.0009,Medium,0.7473,refused
triplicate,censor,logflat,15,2,17,230000.0,,0.9619,0.038,0.0,Low,0.9619,contradicted
triplicate,censor,flat,15,2,17,230000.0,,0.5551,0.4441,0.0004,Low,0.5551,refused
triplicate,pattern,logflat,15,2,33,23000.0,,0.0047,0.5176,0.4772,Medium,0.5176,refused
triplicate,pattern,flat,15,2,33,23000.0,,0.0003,0.2512,0.7481,High,0.7481,refused
triplicate,censor,logflat,15,2,33,23000.0,,0.756,0.2058,0.038,Low,0.756,refused
triplicate,censor,flat,15,2,33,23000.0,,0.0642,0.4908,0.4446,Medium,0.4908,refused
triplicate,pattern,logflat,15,2,34,230000.0,,0.5223,0.4771,0.0001,Low,0.5223,refused
triplicate,pattern,flat,15,2,34,230000.0,,0.2515,0.7473,0.0009,Medium,0.7473,refused
triplicate,censor,logflat,15,2,34,230000.0,,0.9619,0.038,0.0,Low,0.9619,contradicted
triplicate,censor,flat,15,2,34,230000.0,,0.5551,0.4441,0.0004,Low,0.5551,refused
triplicate,pattern,logflat,15,2,43,23000.0,,0.0047,0.5176,0.4772,Medium,0.5176,refused
triplicate,pattern,flat,15,2,43,23000.0,,0.0003,0.2512,0.7481,High,0.7481,refused
triplicate,censor,logflat,15,2,43,23000.0,,0.756,0.2058,0.038,Low,0.756,refused
triplicate,censor,flat,15,2,43,23000.0,,0.0642,0.4908,0.4446,Medium,0.4908,refused
triplicate,pattern,logflat,15,2,45,230000.0,,0.5223,0.4771,0.0001,Low,0.5223,refused
triplicate,pattern,flat,15,2,45,230000.0,,0.2515,0.7473,0.0009,Medium,0.7473,refused
triplicate,censor,logflat,15,2,45,230000.0,,0.9619,0.038,0.0,Low,0.9619,contradicted
triplicate,censor,flat,15,2,45,230000.0,,0.5551,0.4441,0.0004,Low,0.5551,refused
triplicate,pattern,logflat,15,2,49,23000.0,,0.0047,0.5176,0.4772,Medium,0.5176,refused
triplicate,pattern,flat,15,2,49,23000.0,,0.0003,0.2512,0.7481,High,0.7481,refused
triplicate,censor,logflat,15,2,49,23000.0,,0.756,0.2058,0.038,Low,0.756,refused
triplicate,censor,flat,15,2,49,23000.0,,0.0642,0.4908,0.4446,Medium,0.4908,refused
triplicate,pattern,logflat,15,2,61,610000.0,,0.9238,0.076,0.0,Low,0.9238,refused
triplicate,pattern,flat,15,2,61,610000.0,,0.7705,0.2291,0.0,Low,0.7705,refused
triplicate,censor,logflat,15,2,61,610000.0,,0.9952,0.0047,0.0,Low,0.9952,confirmed
triplicate,censor,flat,15,2,61,610000.0,,0.8855,0.1142,0.0,Low,0.8855,refused
triplicate,pattern,logflat,15,2,62,230000.0,,0.5223,0.4771,0.0001,Low,0.5223,refused
triplicate,pattern,flat,15,2,62,230000.0,,0.2515,0.7473,0.0009,Medium,0.7473,refused
triplicate,censor,logflat,15,2,62,230000.0,,0.9619,0.038,0.0,Low,0.9619,contradicted
triplicate,censor,flat,15,2,62,230000.0,,0.5551,0.4441,0.0004,Low,0.5551,refused
triplicate,pattern,logflat,15,2,64,23000.0,,0.0047,0.5176,0.4772,Medium,0.5176,refused
triplicate,pattern,flat,15,2,64,23000.0,,0.0003,0.2512,0.7481,High,0.7481,refused
triplicate,censor,logflat,15,2,64,23000.0,,0.756,0.2058,0.038,Low,0.756,refused
triplicate,censor,flat,15,2,64,23000.0,,0.0642,0.4908,0.4446,Medium,0.4908,refused
triplicate,pattern,logflat,15,2,65,23000.0,,0.0047,0.5176,0.4772,Medium,0.5176,refused
triplicate,pattern,flat,15,2,65,23000.0,,0.0003,0.2512,0.7481,High,0.7481,refused
triplicate,censor,logflat,15,2,65,23000.0,,0.756,0.2058,0.038,Low,0.756,refused
triplicate,censor,flat,15,2,65,23000.0,,0.0642,0.4908,0.4446,Medium,0.4908,refused
triplicate,pattern,logflat,15,2,82,230000.0,,0.5223,0.4771,0.0001,Low,0.5223,refused
triplicate,pattern,flat,15,2,82,230000.0,,0.2515,0.7473,0.0009,Medium,0.7473,refused
triplicate,censor,logflat,15,2,82,230000.0,,0.9619,0.038,0.0,Low,0.9619,contradicted
triplicate,censor,flat,15,2,82,230000.0,,0.5551,0.4441,0.0004,Low,0.5551,refused
triplicate,pattern,logflat,15,2,89,23000.0,,0.0047,0.5176,0.4772,Medium,0.5176,refused
triplicate,pattern,flat,15,2,89,23000.0,,0.0003,0.2512,0.7481,High,0.7481,refused
triplicate,censor,logflat,15,2,89,23000.0,,0.756,0.2058,0.038,Low,0.756,refused
triplicate,censor,flat,15,2,89,23000.0,,0.0642,0.4908,0.4446,Medium,0.4908,refused
triplicate,pattern,logflat,15,2,94,230000.0,,0.5223,0.4771,0.0001,Low,0.5223,refused
triplicate,pattern,flat,15,2,94,230000.0,,0.2515,0.7473,0.0009,Medium,0.7473,refused
triplicate,censor,logflat,15,2,94,230000.0,,0.9619,0.038,0.0,Low,0.9619,contradicted
triplicate,censor,flat,15,2,94,230000.0,,0.5551,0.4441,0.0004,Low,0.5551,refused
triplicate,pattern,logflat,15,2,102,2300000.0,,0.9999,0.0001,0.0,Low,0.9999,confirmed
triplicate,pattern,flat,15,2,102,2300000.0,,0.9991,0.0009,0.0,Low,0.9991,confirmed
triplicate,censor,logflat,15,2,102,2300000.0,,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,flat,15,2,102,2300000.0,,0.9996,0.0004,0.0,Low,0.9996,confirmed
triplicate,pattern,logflat,60,2,45,61000000.0,,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,pattern,flat,60,2,45,61000000.0,,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,logflat,60,2,45,61000000.0,,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,flat,60,2,45,61000000.0,,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,pattern,logflat,60,2,49,230000.0,,0.5223,0.4771,0.0001,Low,0.5223,refused
triplicate,pattern,flat,60,2,49,230000.0,,0.2515,0.7473,0.0009,Medium,0.7473,refused
triplicate,censor,logflat,60,2,49,230000.0,,0.9619,0.038,0.0,Low,0.9619,confirmed
triplicate,censor,flat,60,2,49,230000.0,,0.5551,0.4441,0.0004,Low,0.5551,refused
triplicate,pattern,logflat,60,2,64,23000.0,,0.0047,0.5176,0.4772,Medium,0.5176,refused
triplicate,pattern,flat,60,2,64,23000.0,,0.0003,0.2512,0.7481,High,0.7481,refused
triplicate,censor,logflat,60,2,64,23000.0,,0.756,0.2058,0.038,Low,0.756,refused
triplicate,censor,flat,60,2,64,23000.0,,0.0642,0.4908,0.4446,Medium,0.4908,refused
