design,reading,prior,culture_age_days,sample_day,isolate_index,n0_mpn_ml,recorded_class,p_low,p_medium,p_high,dominant_class,p_dominant,verdict
duplicate,pattern,logflat,15,5,161,230000.0,Low,0.999,0.001,0.0,Low,0.999,confirmed
duplicate,pattern,flat,15,5,161,230000.0,Low,0.9914,0.0086,0.0,Low,0.9914,confirmed
duplicate,censor,logflat,15,5,161,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
duplicate,censor,flat,15,5,161,230000.0,Low,0.994,0.0059,0.0,Low,0.994,confirmed
duplicate,pattern,logflat,15,5,167,23000.0,Medium,0.5331,0.4655,0.001,Low,0.5331,refused
duplicate,pattern,flat,15,5,167,23000.0,Medium,0.2122,0.7789,0.0086,Medium,0.7789,refused
duplicate,censor,logflat,15,5,167,23000.0,Medium,0.9283,0.0715,0.0001,Low,0.9283,refused
duplicate,censor,flat,15,5,167,23000.0,Medium,0.4152,0.5786,0.0059,Medium,0.5786,refused
duplicate,pattern,logflat,15,5,186,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,pattern,flat,15,5,186,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,censor,logflat,15,5,186,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,censor,flat,15,5,186,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,pattern,logflat,60,5,43,610000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,pattern,flat,60,5,43,610000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,censor,logflat,60,5,43,610000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,censor,flat,60,5,43,610000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,pattern,logflat,60,5,49,230000.0,Low,0.999,0.001,0.0,Low,0.999,confirmed
duplicate,pattern,flat,60,5,49,230000.0,Low,0.9914,0.0086,0.0,Low,0.9914,confirmed
duplicate,censor,logflat,60,5,49,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
duplicate,censor,flat,60,5,49,230000.0,Low,0.994,0.0059,0.0,Low,0.994,confirmed
duplicate,pattern,logflat,60,5,50,230000.0,Low,0.999,0.001,0.0,Low,0.999,confirmed
duplicate,pattern,flat,60,5,50,230000.0,Low,0.9914,0.0086,0.0,Low,0.9914,confirmed
duplicate,censor,logflat,60,5,50,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
duplicate,censor,flat,60,5,50,230000.0,Low,0.994,0.0059,0.0,Low,0.994,confirmed
duplicate,pattern,logflat,60,5,66,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,pattern,flat,60,5,66,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,censor,logflat,60,5,66,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,censor,flat,60,5,66,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,pattern,logflat,60,5,76,23000000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,pattern,flat,60,5,76,23000000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,censor,logflat,60,5,76,23000000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,censor,flat,60,5,76,23000000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,pattern,logflat,60,5,103,230000.0,Low,0.999,0.001,0.0,Low,0.999,confirmed
duplicate,pattern,flat,60,5,103,230000.0,Low,0.9914,0.0086,0.0,Low,0.9914,confirmed
duplicate,censor,logflat,60,5,103,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
duplicate,censor,flat,60,5,103,230000.0,Low,0.994,0.0059,0.0,Low,0.994,confirmed
duplicate,pattern,logflat,15,2,1,230000.0,,0.5331,0.4655,0.001,Low,0.5331,refused
duplicate,pattern,flat,15,2,1,230000.0,,0.2122,0.7789,0.0086,Medium,0.7789,refused
duplicate,censor,logflat,15,2,1,230000.0,,0.9441,0.0557,0.0001,Low,0.9441,refused
duplicate,censor,flat,15,2,1,230000.0,,0.4153,0.5785,0.0059,Medium,0.5785,refused
duplicate,pattern,logflat,15,2,2,230000.0,,0.5331,0.4655,0.001,Low,0.5331,refused
duplicate,pattern,flat,15,2,2,230000.0,,0.2122,0.7789,0.0086,Medium,0.7789,refused
duplicate,censor,logflat,15,2,2,230000.0,,0.9441,0.0557,0.0001,Low,0.9441,refused
duplicate,censor,flat,15,2,2,230000.0,,0.4153,0.5785,0.0059,Medium,0.5785,refused
duplicate,pattern,logflat,15,2,6,23000.0,,0.0198,0.5133,0.4665,Medium,0.5133,refused
duplicate,pattern,flat,15,2,6,23000.0,,0.001,0.2112,0.7875,High,0.7875,refused
duplicate,censor,logflat,15,2,6,23000.0,,0.7413,0.2027,0.0558,Low,0.7413,refused
duplicate,censor,flat,15,2,6,23000.0,,0.0473,0.3679,0.5844,High,0.5844,refused
duplicate,pattern,logflat,15,2,12,230000.0,,0.5331,0.4655,0.001,Low,0.5331,refused
duplicate,pattern,flat,15,2,12,230000.0,,0.2122,0.7789,0.0086,Medium,0.7789,refused
duplicate,censor,logflat,15,2,12,230000.0,,0.9441,0.0557,0.0001,Low,0.9441,refused
duplicate,censor,flat,15,2,12,230000.0,,0.4153,0.5785,0.0059,Medium,0.5785,refused
duplicate,pattern,logflat,15,2,17,230000.0,,0.5331,0.4655,0.001,Low,0.5331,refused
duplicate,pattern,flat,15,2,17,230000.0,,0.2122,0.7789,0.0086,Medium,0.7789,refused
duplicate,censor,logflat,15,2,17,230000.0,,0.9441,0.0557,0.0001,Low,0.9441,refused
duplicate,censor,flat,15,2,17,230000.0,,0.4153,0.5785,0.0059,Medium,0.5785,refused
duplicate,pattern,logflat,15,2,33,23000.0,,0.0198,0.5133,0.4665,Medium,0.5133,refused
duplicate,pattern,flat,15,2,33,23000.0,,0.001,0.2112,0.7875,High,0.7875,refused
duplicate,censor,logflat,15,2,33,23000.0,,0.7413,0.2027,0.0558,Low,0.7413,refused
duplicate,censor,flat,15,2,33,23000.0,,0.0473,0.3679,0.5844,High,0.5844,refused
duplicate,pattern,logflat,15,2,34,230000.0,,0.5331,0.4655,0.001,Low,0.5331,refused
duplicate,pattern,flat,15,2,34,230000.0,,0.2122,0.7789,0.0086,Medium,0.7789,refused
duplicate,censor,logflat,15,2,34,230000.0,,0.9441,0.0557,0.0001,Low,0.9441,refused
duplicate,censor,flat,15,2,34,230000.0,,0.4153,0.5785,0.0059,Medium,0.5785,refused
duplicate,pattern,logflat,15,2,43,23000.0,,0.0198,0.5133,0.4665,Medium,0.5133,refused
duplicate,pattern,flat,15,2,43,23000.0,,0.001,0.2112,0.7875,High,0.7875,refused
