scenario,min_value,predicted_log_ratio,n_low,n_high,median_low,median_high,ratio_low_over_high,median_low_evolved,median_high_evolved,ratio_evolved,frac_never_evolved_low,frac_never_evolved_high,extinction_fraction
published,-0.5,0.2783267229427053,40,40,17.760584208455697,8.839710203083104,2.009181726597913,18.185808078963916,8.839710203083104,2.0572855513545103,0.1,0.0,0.0
calibrated,-3.5824,4.820980328935222,21,40,18.428753877370767,8.994645805717354,2.048858206918689,18.46794384359302,8.994645805717354,2.0532152396544685,0.047619047619047616,0.0,0.2375
