group,n,pct_measured,n_deep_endpoint_unreachable,pct_deep_endpoint_unreachable,median_headroom_log10,fisher_p_unreachable
IR,84,91.66666666666666,22,26.190476190476193,4.0,0.0005630647809615917
IS,119,90.75630252100841,9,7.563025210084033,5.0,0.0005630647809615917
