institute,arm,replicate,plating,plated_volume_ul,boundary_log10,n_rows,n_visits_observed,n_visits_not_observed,last_visit_day,start_log10,start_uses_day_zero,start_n_early_readings,day_zero_log10,day_one_log10,ever_crossed_below,first_observed_visit_below,n_crossings_below,n_returns_above,oscillates_more_than_once,terminal_state,returned_under_loose_rule,first_crossing_day,last_day_above_before_crossing,returned_above,day_of_first_return,days_below_before_return,longest_run_below_days,trajectory_class
A,MXF 10X MIC,1,100 uL quadruplicate,100.0,1.0,7,7,0,21.0,,False,0,,,True,False,2,2,True,above,True,7.0,3.0,True,10.0,3.0,0.0,crosses repeatedly
A,MXF 10X MIC,1,10 uL four drops,10.0,2.0,7,7,0,21.0,2.60205999132796,False,1,,2.60205999132796,True,False,1,1,False,above,True,10.0,7.0,True,21.0,11.0,4.0,"one crossing, returns above"
A,MXF 10X MIC,1,10 uL single drop,10.0,2.0,7,7,0,21.0,2.60205999132796,False,1,,2.60205999132796,True,False,1,1,False,above,True,10.0,7.0,True,21.0,11.0,4.0,"one crossing, returns above"
A,MXF 10X MIC,1,2.5 uL single drop,2.5,2.6020599913279625,7,7,0,21.0,,False,0,,,True,True,1,2,True,above,True,1.0,,True,2.0,1.0,4.0,crosses repeatedly
A,MXF 10X MIC,2,100 uL quadruplicate,100.0,1.0,7,7,0,21.0,2.41497334797082,False,1,,2.41497334797082,True,False,1,1,False,above,True,14.0,10.0,True,21.0,7.0,0.0,"one crossing, returns above"
A,MXF 10X MIC,2,10 uL four drops,10.0,2.0,7,7,0,21.0,2.77815125038364,False,1,,2.77815125038364,True,False,1,1,False,above,True,3.0,2.0,True,21.0,18.0,11.0,"one crossing, returns above"
A,MXF 10X MIC,2,10 uL single drop,10.0,2.0,7,7,0,21.0,2.77815125038364,False,1,,2.77815125038364,True,False,1,1,False,above,True,3.0,2.0,True,21.0,18.0,11.0,"one crossing, returns above"
A,MXF 10X MIC,2,2.5 uL single drop,2.5,2.6020599913279625,7,7,0,21.0,,False,0,,,True,True,1,2,True,above,True,1.0,,True,2.0,1.0,7.0,crosses repeatedly
A,MXF 10X MIC,3,100 uL quadruplicate,100.0,1.0,7,6,1,14.0,2.46239799789896,False,1,,2.46239799789896,True,False,1,0,False,below,True,14.0,10.0,False,,,0.0,"one crossing, no return"
A,MXF 10X MIC,3,10 uL four drops,10.0,2.0,7,6,1,14.0,3.23044892137827,False,1,,3.23044892137827,True,False,1,1,False,above,True,2.0,1.0,True,14.0,12.0,8.0,"one crossing, returns above"
A,MXF 10X MIC,3,10 uL single drop,10.0,2.0,7,6,1,14.0,3.17609125905568,False,1,,3.17609125905568,True,False,1,0,False,below,True,2.0,1.0,False,,,12.0,"one crossing, no return"
A,MXF 10X MIC,3,2.5 uL single drop,2.5,2.6020599913279625,7,6,1,14.0,2.60205999132796,False,1,,2.60205999132796,True,False,2,1,False,below,True,2.0,1.0,True,3.0,1.0,7.0,crosses repeatedly
A,MXF 1X MIC,1,100 uL quadruplicate,100.0,1.0,7,7,0,21.0,3.73239375982297,False,1,,3.73239375982297,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,MXF 1X MIC,1,10 uL four drops,10.0,2.0,7,7,0,21.0,3.60205999132796,False,1,,3.60205999132796,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,MXF 1X MIC,1,10 uL single drop,10.0,2.0,7,7,0,21.0,3.07918124604762,False,1,,3.07918124604762,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,MXF 1X MIC,1,2.5 uL single drop,2.5,2.6020599913279625,7,7,0,21.0,3.30102999566398,False,1,,3.30102999566398,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,MXF 1X MIC,2,100 uL quadruplicate,100.0,1.0,7,7,0,21.0,3.70757017609794,False,1,,3.70757017609794,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,MXF 1X MIC,2,10 uL four drops,10.0,2.0,7,7,0,21.0,3.47712125471966,False,1,,3.47712125471966,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,MXF 1X MIC,2,10 uL single drop,10.0,2.0,7,7,0,21.0,3.07918124604762,False,1,,3.07918124604762,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,MXF 1X MIC,2,2.5 uL single drop,2.5,2.6020599913279625,7,7,0,21.0,3.30102999566398,False,1,,3.30102999566398,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,MXF 1X MIC,3,100 uL quadruplicate,100.0,1.0,7,7,0,21.0,3.55630250076729,False,1,,3.55630250076729,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,MXF 1X MIC,3,10 uL four drops,10.0,2.0,7,7,0,21.0,3.67209785793572,False,1,,3.67209785793572,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,MXF 1X MIC,3,10 uL single drop,10.0,2.0,7,7,0,21.0,3.04139268515822,False,1,,3.04139268515822,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,MXF 1X MIC,3,2.5 uL single drop,2.5,2.6020599913279625,7,7,0,21.0,3.20411998265592,False,1,,3.20411998265592,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,untreated,1,100 uL quadruplicate,100.0,1.0,8,8,0,21.0,3.98677173426624,False,1,,3.98677173426624,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,untreated,1,10 uL four drops,10.0,2.0,8,8,0,21.0,3.569466970128465,True,2,3.43136376415899,3.70757017609794,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,untreated,1,10 uL single drop,10.0,2.0,8,8,0,21.0,3.23044892137827,True,2,3.23044892137827,3.23044892137827,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,untreated,1,2.5 uL single drop,2.5,2.6020599913279625,8,8,0,21.0,3.25257498915995,True,2,3.20411998265592,3.30102999566398,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,untreated,2,100 uL quadruplicate,100.0,1.0,8,8,0,21.0,3.92941892571429,False,1,,3.92941892571429,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,untreated,2,10 uL four drops,10.0,2.0,8,8,0,21.0,3.6164980551960753,True,2,3.47712125471966,3.75587485567249,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,untreated,2,10 uL single drop,10.0,2.0,8,8,0,21.0,3.09376036041823,True,2,3.14612803567824,3.04139268515822,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,untreated,2,2.5 uL single drop,2.5,2.6020599913279625,8,8,0,21.0,3.25257498915995,True,2,3.20411998265592,3.30102999566398,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,untreated,3,100 uL quadruplicate,100.0,1.0,8,7,1,21.0,,False,0,,,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,untreated,3,10 uL four drops,10.0,2.0,8,8,0,21.0,3.6300356939925402,True,2,3.54406804435028,3.7160033436348,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,untreated,3,10 uL single drop,10.0,2.0,8,8,0,21.0,3.2124408183155353,True,2,3.14612803567824,3.27875360095283,False,False,0,0,False,above,False,,,False,,,,never below the boundary
A,untreated,3,2.5 uL single drop,2.5,2.6020599913279625,8,8,0,21.0,3.25257498915995,True,2,3.20411998265592,3.30102999566398,False,False,0,0,False,above,False,,,False,,,,never below the boundary
B,INH 10X MIC,1,100 uL quadruplicate,100.0,1.0,7,6,1,14.0,,False,0,,,True,False,1,0,False,below,True,3.0,2.0,False,,,11.0,"one crossing, no return"
