AB_conc,nutrient_conc,time,repl,surv_frac
25,0.8,0,1,1
25,0.8,1,1,0.001712587
25,0.8,2,1,9.50E-05
25,0.8,3,1,0.000113887
25,0.8,5,1,0.000231713
25,0.8,8,1,0.000105324
25,0.8,0,2,1
25,0.8,1,2,0.001820843
25,0.8,2,2,0.000106376
25,0.8,3,2,0.000122667
25,0.8,5,2,0.000186876
25,0.8,8,2,0.000115959
25,0.8,0,3,1
25,0.8,1,3,0.02692509
25,0.8,2,3,9.98E-05
25,0.8,3,3,0.000148245
25,0.8,5,3,0.000130926
25,0.8,8,3,6.37E-05
25,0.9,0,1,1
25,0.9,1,1,0.000142
25,0.9,2,1,0.0000499
25,0.9,3,1,0.0000524
25,0.9,5,1,0.00000146
25,0.9,8,1,0.0000341
25,0.9,0,2,1
25,0.9,1,2,0.000146
25,0.9,2,2,0.0000649
25,0.9,3,2,0.0000995
25,0.9,5,2,0.00000152
25,0.9,8,2,0.000016
25,0.9,0,3,1
25,0.9,1,3,0.000169
25,0.9,2,3,0.000108
25,0.9,3,3,0.0000589
25,0.9,5,3,0.00000334
25,0.9,8,3,0.00000617
25,0.95,0,1,1
25,0.95,1,1,0.000208
25,0.95,2,1,0.00019
25,0.95,3,1,0.0000137
25,0.95,5,1,0.000000506
25,0.95,8,1,0.000000534
25,0.95,0,2,1
25,0.95,1,2,0.000126
25,0.95,2,2,0.0000403
25,0.95,3,2,0.00000258
25,0.95,5,2,0.0000118
25,0.95,8,2,0.00000039
25,0.95,0,3,1
25,0.95,1,3,0.000208
25,0.95,2,3,0.0000965
25,0.95,3,3,0.00000606
25,0.95,5,3,0.0000042
50,0,0,1,1
50,0,1,1,0.6196012
50,0,2,1,0.6432301
50,0,3,1,0.4935806
50,0,5,1,0.5141039
50,0,8,1,0.2898824
50,0,0,2,1
50,0,1,2,0.4578462
50,0,2,2,0.4240879
50,0,3,2,0.4093187
50,0,5,2,0.4451868
50,0,8,2,0.1529756
50,0,0,3,1
50,0,1,3,0.4320251
50,0,2,3,0.9220779
50,0,3,3,0.4797488
50,0,5,3,0.5978022
50,0,8,3,0.3321905
50,0.25,0,1,1
50,0.25,1,1,0.6231704
50,0.25,3,1,0.001558085
50,0.25,5,1,0.000318683
50,0.25,8,1,0.00010358
50,0.25,0,2,1
50,0.25,1,2,0.08727849
50,0.25,5,2,0.000338424
50,0.25,8,2,0.000223178
50,0.25,0,3,1
50,0.25,1,3,0.07510009
50,0.25,2,3,0.002943112
50,0.25,3,3,0.001623786
50,0.25,5,3,0.000989382
50,0.25,8,3,0.000198591
50,0.5,0,1,1
50,0.5,1,1,4.45E-05
50,0.5,2,1,0.000130474
50,0.5,3,1,6.97E-05
50,0.5,5,1,3.67E-05
50,0.5,8,1,1.69E-05
50,0.5,0,2,1
50,0.5,1,2,0.000274675
50,0.5,2,2,0.000135714
50,0.5,3,2,9.15E-05
50,0.5,5,2,4.87E-05
50,0.5,8,2,3.02E-05
50,0.5,0,3,1
50,0.5,1,3,0.000116659
50,0.5,2,3,7.71E-05
50,0.5,3,3,3.28E-05
50,0.5,5,3,2.26E-05
50,0.5,8,3,1.65E-05
50,0.8,0,1,1
50,0.8,1,1,3.48E-05
50,0.8,2,1,5.03E-05
50,0.8,3,1,0.00000446
50,0.8,5,1,0.00000328
50,0.8,8,1,9.69E-07
50,0.8,0,2,1
50,0.8,1,2,0.000028504
50,0.8,2,2,6.46E-05
50,0.8,3,2,3.99E-06
50,0.8,5,2,1.82E-06
50,0.8,8,2,4.75E-07
50,0.8,0,3,1
50,0.8,2,3,0.000252392
50,0.8,3,3,0.000114364
50,0.8,5,3,3.12E-05
50,0.8,8,3,8.26E-05
50,0.9,0,1,1
50,0.9,1,1,4.22E-05
50,0.9,2,1,3.60E-05
50,0.9,3,1,5.07E-06
50,0.9,5,1,5.58E-07
50,0.9,8,1,1.99E-07
50,0.9,0,2,1
50,0.9,1,2,6.11E-05
50,0.9,2,2,9.87E-05
50,0.9,3,2,4.94E-06
50,0.9,5,2,7.99E-07
50,0.9,8,2,3.61E-07
50,0.9,0,3,1
50,0.9,2,3,0.000156926
50,0.9,3,3,0.000119466
50,0.9,5,3,1.84E-05
50,0.9,8,3,1.75E-06
50,0.95,0,1,1
50,0.95,1,1,4.93E-05
50,0.95,2,1,8.81E-06
50,0.95,3,1,2.89E-06
50,0.95,5,1,8.44E-07
50,0.95,8,1,2.58E-07
50,0.95,0,2,1
50,0.95,1,2,8.89E-05
50,0.95,2,2,9.00E-06
50,0.95,3,2,0.00000704
50,0.95,5,2,2.72E-06
50,0.95,8,2,2.29E-07
50,0.95,0,3,1
50,0.95,1,3,0.000284043
50,0.95,2,3,7.59E-05
50,0.95,3,3,5.31E-05
50,0.95,5,3,3.48E-05
50,0.95,8,3,3.63E-06
100,0,0,1,1
100,0,1,1,0.595651
100,0,2,1,0.740706
100,0,3,1,0.462468
100,0,5,1,0.40817
100,0,8,1,0.146134
100,0,0,2,1
100,0,1,2,0.729724
100,0,2,2,0.729724
100,0,3,2,0.524761
100,0,5,2,0.733284
100,0,8,2,0.230435
100,0,0,3,1
100,0,1,3,0.655087
100,0,2,3,0.645728
100,0,3,3,0.502233
100,0,5,3,0.583339
100,0,8,3,0.370925
100,0.25,0,1,1
100,0.25,1,1,0.001776446
100,0.25,2,1,0.001212163
100,0.25,3,1,0.000606081
100,0.25,5,1,9.55E-05
100,0.25,8,1,0.000127119
100,0.25,0,2,1
100,0.25,1,2,0.001370069
100,0.25,2,2,0.001210228
100,0.25,3,2,0.001050386
100,0.25,5,2,0.000219159
100,0.25,8,2,0.000186179
100,0.25,0,3,1
100,0.25,1,3,0.001116796
100,0.25,2,3,0.000750347
100,0.25,3,3,0.001046996
100,0.25,5,3,0.000195122
100,0.25,8,3,9.62E-05
100,0.5,0,1,1
100,0.5,1,1,0.00087751
100,0.5,2,1,0.000244199
100,0.5,3,1,0.000254144
100,0.5,5,1,0.000116044
100,0.5,8,1,7.51E-05
100,0.5,0,2,1
100,0.5,1,2,0.001278013
100,0.5,2,2,0.000285038
100,0.5,3,2,0.000300947
100,0.5,5,2,0.0000924
100,0.5,8,2,0.000105933
100,0.5,0,3,1
100,0.5,1,3,0.000784684
100,0.5,2,3,0.00021828
100,0.5,3,3,0.000227957
100,0.5,5,3,0.000134761
100,0.5,8,3,0.000071914
100,0.8,0,1,1
100,0.8,1,1,0.000022941
100,0.8,2,1,1.80E-06
100,0.8,3,1,1.13E-06
100,0.8,5,1,1.22E-06
100,0.8,8,1,3.58E-07
100,0.8,0,2,1
100,0.8,1,2,2.60E-05
100,0.8,2,2,0.00000177
100,0.8,3,2,1.10E-06
100,0.8,5,2,3.84E-07
100,0.8,8,2,3.72E-07
100,0.8,0,3,1
100,0.8,1,3,3.56E-05
100,0.8,2,3,1.42E-06
100,0.8,3,3,1.75E-06
100,0.8,5,3,5.34E-07
100,0.8,8,3,1.52E-07
100,0.9,0,1,1
100,0.9,1,1,2.72E-05
100,0.9,2,1,1.43E-06
100,0.9,3,1,1.63E-07
100,0.9,5,1,2.51E-07
100,0.9,8,1,1.09E-08
100,0.9,0,2,1
100,0.9,1,2,6.43E-05
100,0.9,2,2,3.84E-06
100,0.9,3,2,1.17E-06
100,0.9,5,2,4.09E-07
100,0.9,8,2,4.39E-08
100,0.9,0,3,1
100,0.9,1,3,6.57E-05
100,0.9,2,3,5.50E-06
100,0.9,3,3,5.30E-07
100,0.9,5,3,2.15E-07
100,0.9,8,3,3.79E-08
100,0.95,0,1,1
100,0.95,1,1,0.000106682
100,0.95,2,1,3.99E-06
100,0.95,3,1,8.13E-07
100,0.95,5,1,1.52E-07
100,0.95,0,2,1
100,0.95,1,2,0.000143089
100,0.95,2,2,4.22E-06
100,0.95,3,2,4.09E-07
100,0.95,5,2,1.02E-07
100,0.95,0,3,1
100,0.95,1,3,0.000123306
100,0.95,2,3,4.18E-06
100,0.95,3,3,5.97E-07
100,0.95,5,3,1.99E-07
200,0,0,1,1
200,0,1,1,0.660558
200,0,2,1,0.523686
200,0,3,1,0.627828
200,0,5,1,0.651631
200,0,8,1,0.296041
200,0,0,2,1
200,0,1,2,0.63029
200,0,2,2,0.621454
200,0,3,2,0.633235
200,0,5,2,0.533095
200,0,8,2,0.236424
200,0,0,3,1
200,0,1,3,0.7036
200,0,2,3,0.650246
200,0,3,3,0.6169
200,0,5,3,0.66025
200,0,8,3,0.250407
200,0.25,0,1,1.00E+00
200,0.25,1,1,7.91E-04
200,0.25,2,1,1.10E-03
200,0.25,3,1,2.74E-04
200,0.25,5,1,2.03E-04
200,0.25,8,1,6.83E-05
200,0.25,0,2,1.00E+00
200,0.25,1,2,9.89E-04
200,0.25,2,2,6.54E-04
200,0.25,3,2,1.71E-04
200,0.25,5,2,1.62E-04
200,0.25,8,2,8.02E-05
200,0.25,0,3,1.00E+00
200,0.25,1,3,3.22E-04
200,0.25,2,3,4.53E-04
200,0.25,3,3,6.68E-04
200,0.25,5,3,1.87E-04
200,0.25,8,3,6.42E-05
200,0.5,0,1,1
200,0.5,1,1,0.000150175
200,0.5,2,1,8.13E-05
200,0.5,3,1,7.34E-05
200,0.5,5,1,3.49E-05
200,0.5,8,1,2.20E-05
200,0.5,0,2,1
200,0.5,1,2,0.00016381
200,0.5,2,2,0.000137042
200,0.5,3,2,8.28E-05
200,0.5,5,2,2.98E-05
200,0.5,8,2,1.61E-05
200,0.5,0,3,1
200,0.5,1,3,0.000152227
200,0.5,2,3,0.000129555
200,0.5,3,3,7.64E-05
200,0.5,5,3,2.10E-05
200,0.5,8,3,1.56E-05
200,0.8,0,1,1
200,0.8,1,1,5.70E-06
200,0.8,2,1,1.66E-06
200,0.8,3,1,8.48E-07
200,0.8,5,1,7.72E-07
200,0.8,8,1,2.01E-08
200,0.8,0,2,1
200,0.8,1,2,1.05E-05
200,0.8,2,2,2.17E-06
200,0.8,3,2,5.52E-07
200,0.8,5,2,3.65E-07
200,0.8,8,2,3.04E-08
200,0.8,0,3,1
200,0.8,1,3,9.34E-06
200,0.8,2,3,4.60E-06
200,0.8,3,3,7.19E-07
200,0.8,5,3,3.07E-07
200,0.8,8,3,5.27E-08
200,0.9,0,1,1
200,0.9,1,1,9.12E-06
200,0.9,2,1,7.64E-07
200,0.9,3,1,1.78E-07
200,0.9,5,1,9.42E-08
200,0.9,8,1,1.05E-08
200,0.9,0,2,1
200,0.9,1,2,1.06E-05
200,0.9,2,2,3.44E-07
200,0.9,3,2,7.46E-07
200,0.9,5,2,7.55E-08
200,0.9,8,2,1.68E-08
200,0.9,0,3,1
200,0.9,1,3,1.60E-06
200,0.9,2,3,2.95E-08
200,0.9,3,3,4.04E-07
200,0.9,5,3,3.94E-08
400,0,0,1,1
400,0,1,1,0.09756098
400,0,2,1,0.1571245
400,0,3,1,0.08112966
400,0,5,1,0.01877909
400,0,8,1,0.007218045
400,0,0,2,1
400,0,1,2,0.06145507
400,0,2,2,0.1164895
400,0,3,2,0.09906191
400,0,5,2,0.02573979
400,0,8,2,0.009188034
400,0,0,3,1
400,0,1,3,0.1685545
400,0,2,3,0.1976574
400,0,3,3,0.1867438
400,0,5,3,0.03259259
400,0,8,3,0.01175141
400,0.25,0,1,1.00E+00
400,0.25,1,1,6.90E-04
400,0.25,2,1,7.23E-04
400,0.25,3,1,2.18E-04
400,0.25,5,1,1.61E-04
400,0.25,8,1,3.65E-05
400,0.25,0,2,1.00E+00
400,0.25,1,2,7.24E-04
400,0.25,2,2,2.67E-04
400,0.25,3,2,1.66E-04
400,0.25,5,2,1.15E-04
400,0.25,8,2,5.44E-05
400,0.25,0,3,1.00E+00
400,0.25,1,3,5.17E-04
400,0.25,2,3,2.25E-04
400,0.25,3,3,4.24E-04
400,0.25,5,3,2.00E-04
400,0.25,8,3,6.77E-05
400,0.5,0,1,1
400,0.5,1,1,5.68E-05
400,0.5,2,1,1.94E-05
400,0.5,3,1,2.32E-05
400,0.5,5,1,2.61E-05
400,0.5,8,1,1.31E-06
400,0.5,0,2,1
400,0.5,1,2,5.30E-05
400,0.5,2,2,2.30E-05
400,0.5,3,2,2.93E-05
400,0.5,5,2,2.83E-05
400,0.5,8,2,2.70E-07
400,0.5,0,3,1
400,0.5,1,3,5.32E-05
400,0.5,2,3,1.68E-05
400,0.5,3,3,2.46E-05
400,0.5,5,3,1.52E-05
400,0.5,8,3,1.39E-07
400,0.8,0,1,1
400,0.8,1,1,4.07E-07
400,0.8,2,1,2.24E-08
400,0.8,3,1,1.13E-07
400,0.8,5,1,2.59E-08
400,0.8,8,1,1.53E-08
400,0.8,0,2,1
400,0.8,1,2,2.73E-07
400,0.8,2,2,2.18E-08
400,0.8,3,2,7.51E-08
400,0.8,8,2,7.04E-09
400,0.8,0,3,1
400,0.8,1,3,6.02E-07
400,0.8,2,3,3.14E-08
400,0.8,3,3,3.14E-08
400,0.8,5,3,8.79E-09
400,0.8,8,3,8.98E-09
400,0.9,0,1,1
400,0.9,0,2,1
400,0.9,1,2,2.02E-07
400,0.9,2,2,1.56E-08
400,0.9,3,2,0
400,0.9,5,2,0
400,0.9,8,2,0
400,0.9,0,3,1
400,0.9,1,3,1.19E-07
400,0.9,2,3,1.32E-08
400,0.9,3,3,0
400,0.9,5,3,0
400,0.9,8,3,0
