AB_conc,nutrient_conc,population,time,clone,MIC,pers_frac
25,0.5,1,7,1,1,0.208
25,0.5,1,7,2,1,0.136
25,0.5,1,9,1,4,0.649
25,0.5,1,9,2,2,0.679
25,0.5,1,9,3,2,0.699
25,0.5,1,15,1,1,0.000303
25,0.5,1,15,2,2,0.271
25,0.5,1,15,3,1,0.241
25,0.5,2,1,1,0.5,0.000248
25,0.5,2,1,2,1,0.000116
25,0.5,2,1,3,2,0.000146
25,0.5,2,2,1,0.5,0.000191
25,0.5,2,2,2,0.5,0.000924
25,0.5,2,2,3,1,0.000845
25,0.5,2,3,1,2,0.000149
25,0.5,2,3,2,1,0.000148
25,0.5,2,3,3,2,0.000111
25,0.5,2,5,1,0.5,0.000344
25,0.5,2,5,2,0.5,0.00217
25,0.5,2,5,3,0.5,0.000384
25,0.5,2,7,1,2,0.403
25,0.5,2,7,2,4,0.392
25,0.5,2,7,3,2,NA
25,0.5,2,8,1,2,0.074
25,0.5,2,8,2,1,0.0841
25,0.5,2,8,3,2,NA
25,0.5,2,9,1,2,0.356
25,0.5,2,9,2,2,0.461
25,0.5,2,9,3,4,0.355
25,0.5,2,11,1,2,0.000736
25,0.5,2,11,2,2,0.0657
25,0.5,2,11,3,2,0.0683
25,0.5,2,15,1,4,0.0382
25,0.5,2,15,2,4,0.0347
25,0.5,2,15,3,4,0.0453
25,0.8,1,1,1,2,0.000243
25,0.8,1,1,2,4,0.000209
25,0.8,1,1,3,4,0.000212
25,0.8,1,3,1,4,6.83E-05
25,0.8,1,3,2,2,3.16E-05
25,0.8,1,3,3,2,4.00E-05
25,0.8,1,5,1,4,6.97E-05
25,0.8,1,5,2,4,0.000192223
25,0.8,1,5,3,2,0.000102805
25,0.8,1,7,1,8,0.000454545
25,0.8,1,7,2,16,9.13E-05
25,0.8,1,7,3,8,1.73E-05
25,0.8,1,9,1,16,0.020380292
25,0.8,1,9,2,8,0.000318952
25,0.8,1,9,3,16,0.000354136
25,0.8,2,1,1,1,0.000852
25,0.8,2,1,2,1,0.00032
25,0.8,2,1,3,1,0.000424
25,0.8,2,3,1,1,0.000301
25,0.8,2,3,2,2,0.000259
25,0.8,2,3,3,1,0.000164
25,0.8,2,5,1,32,0.00108
25,0.8,2,5,2,32,0.000177
25,0.8,2,5,3,32,5.50E-05
25,0.8,2,7,1,0.5,0.00561
25,0.8,2,7,2,32,NA
25,0.8,2,7,3,32,0.000146
25,0.8,2,9,1,32,0.001453704
25,0.8,2,9,2,64,0.001525
25,0.8,2,9,3,32,4.23E-06
25,0.8,2,11,1,64,0.000190056
25,0.8,2,11,2,64,0.000584615
25,0.8,2,11,3,64,6.97E-06
25,0.8,2,13,1,32,1.82E-05
25,0.8,2,13,2,64,0.00011773
25,0.8,2,13,3,32,8.11E-06
25,0.8,2,15,1,64,1.83E-05
25,0.8,2,15,2,64,2.85E-05
25,0.8,2,15,3,64,2.11E-05
50,0.25,1,1,1,2,0.000263
50,0.25,1,1,2,2,0.000329
50,0.25,1,1,3,2,0.000195
50,0.25,1,2,1,1,0.00011
50,0.25,1,2,2,1,0.000154
50,0.25,1,2,3,1,4.29E-05
50,0.25,1,3,1,4,0.00468
50,0.25,1,3,2,4,0.0497
50,0.25,1,3,3,4,0.00367
50,0.25,1,5,1,4,0.00189
